	('cellCount 0',)	('percentApoptoticCells 1',)
('2833 2514', 'recordedWell: D21', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	297.0	0.366147
('2834 2515', 'recordedWell: D21', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	622.0	1.338602
('2835 2516', 'recordedWell: D21', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	921.0	1.954397
('2836 2517', 'recordedWell: D22', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	80.0	6.394637
('2837 2518', 'recordedWell: D22', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	122.0	31.953609
('2838 2519', 'recordedWell: D22', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.045726667')	150.0	40.666668
('2839 2520', 'recordedWell: E03', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	157.0	7.225572
('2840 2521', 'recordedWell: E03', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	139.0	25.02475
('2841 2522', 'recordedWell: E03', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	169.0	13.609468
('2842 2523', 'recordedWell: E04', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	312.0	1.526765
('2843 2524', 'recordedWell: E04', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	588.0	2.022907
('2844 2525', 'recordedWell: E04', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	992.0	2.822581
('2845 2526', 'recordedWell: E05', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	120.0	3.950187
('2846 2527', 'recordedWell: E05', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	135.0	24.123102
('2847 2528', 'recordedWell: E05', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 11.11111333')	141.0	7.092198
('2848 2529', 'recordedWell: E06', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	109.0	16.132311
('2849 2530', 'recordedWell: E06', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	64.0	60.140724
('2850 2531', 'recordedWell: E06', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	32.0	50.0
('2851 2532', 'recordedWell: E07', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	312.0	0.826894
('2852 2533', 'recordedWell: E07', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	603.0	2.065356
('2853 2534', 'recordedWell: E07', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	992.0	1.512097
('2854 2535', 'recordedWell: E08', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	107.0	14.101689
('2855 2536', 'recordedWell: E08', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	106.0	61.968239
('2856 2537', 'recordedWell: E08', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 11.11111333')	37.0	43.243244
('2857 2538', 'recordedWell: E09', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	339.0	1.739251
('2858 2539', 'recordedWell: E09', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	610.0	1.255682
('2859 2540', 'recordedWell: E09', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.015243333')	982.0	0.916497
('2860 2541', 'recordedWell: E10', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	201.0	2.049506
('2861 2542', 'recordedWell: E10', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	366.0	5.290786
('2862 2543', 'recordedWell: E10', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	577.0	4.159445
('2863 2544', 'recordedWell: E11', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	282.0	0.545677
('2864 2545', 'recordedWell: E11', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	594.0	1.706233
('2865 2546', 'recordedWell: E11', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	939.0	0.745474
('2866 2547', 'recordedWell: E12', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	221.0	4.695176
('2867 2548', 'recordedWell: E12', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	178.0	17.989874
('2868 2549', 'recordedWell: E12', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.015243333')	340.0	7.647059
('2869 2550', 'recordedWell: E13', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	209.0	8.126092
('2870 2551', 'recordedWell: E13', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	129.0	31.364759
('2871 2552', 'recordedWell: E13', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	74.0	8.108109
('2872 2553', 'recordedWell: E14', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	318.0	1.022634
('2873 2554', 'recordedWell: E14', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	577.0	0.784286
('2874 2555', 'recordedWell: E14', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	886.0	0.790068
('2875 2556', 'recordedWell: E15', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	116.0	7.791114
('2876 2557', 'recordedWell: E15', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	128.0	24.349211
('2877 2558', 'recordedWell: E15', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 3.703706667')	72.0	13.888889
('2878 2559', 'recordedWell: E16', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	141.0	11.394364
('2879 2560', 'recordedWell: E16', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	140.0	40.109776
('2880 2561', 'recordedWell: E16', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	91.0	16.483517
('2881 2562', 'recordedWell: E17', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	312.0	0.850504
('2882 2563', 'recordedWell: E17', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	597.0	0.630966
('2883 2564', 'recordedWell: E17', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	860.0	1.162791
('2884 2565', 'recordedWell: E18', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	134.0	4.549223
('2885 2566', 'recordedWell: E18', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	134.0	40.720303
('2886 2567', 'recordedWell: E18', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 11.11111333')	102.0	24.509804
('2887 2568', 'recordedWell: E19', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	331.0	0.522816
('2888 2569', 'recordedWell: E19', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	573.0	2.124814
('2889 2570', 'recordedWell: E19', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: MPS-1-IN-1', 'assayCompoundConcentration: 0.005083333')	949.0	0.842993
('2890 2571', 'recordedWell: E20', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	292.0	0.346263
('2891 2572', 'recordedWell: E20', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	638.0	1.226754
('2892 2573', 'recordedWell: E20', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	1009.0	1.783944
('2893 2574', 'recordedWell: E21', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	273.0	0.170274
('2894 2575', 'recordedWell: E21', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	598.0	1.545709
('2895 2576', 'recordedWell: E21', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	812.0	0.862069
('2896 2577', 'recordedWell: E22', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	292.0	0.780788
('2897 2578', 'recordedWell: E22', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	546.0	1.170902
('2898 2579', 'recordedWell: E22', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Staurosporine', 'assayCompoundConcentration: 0.045726667')	813.0	0.861009
('2899 2580', 'recordedWell: F03', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	225.0	1.741179
('2900 2581', 'recordedWell: F03', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	338.0	8.410644
('2901 2582', 'recordedWell: F03', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	320.0	24.0625
('2902 2583', 'recordedWell: F04', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	254.0	1.541536
('2903 2584', 'recordedWell: F04', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	597.0	2.076493
('2904 2585', 'recordedWell: F04', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	961.0	3.01769
('2905 2586', 'recordedWell: F05', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	238.0	1.723611
('2906 2587', 'recordedWell: F05', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	243.0	18.472612
('2907 2588', 'recordedWell: F05', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 11.11111333')	545.0	8.256881
('2908 2589', 'recordedWell: F06', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	77.0	26.19173
('2909 2590', 'recordedWell: F06', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	105.0	56.603443
('2910 2591', 'recordedWell: F06', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	110.0	49.090908
('2911 2592', 'recordedWell: F07', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	314.0	1.298647
('2912 2593', 'recordedWell: F07', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	583.0	3.244715
('2913 2594', 'recordedWell: F07', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	953.0	3.147954
('2914 2595', 'recordedWell: F08', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	128.0	32.881886
('2915 2596', 'recordedWell: F08', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	133.0	33.555828
('2916 2597', 'recordedWell: F08', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 11.11111333')	120.0	40.0
('2917 2598', 'recordedWell: F09', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	332.0	0.948799
('2918 2599', 'recordedWell: F09', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	510.0	1.657066
('2919 2600', 'recordedWell: F09', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: GW843682', 'assayCompoundConcentration: 0.015243333')	1013.0	2.270484
('2920 2601', 'recordedWell: F10', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	314.0	1.42971
('2921 2602', 'recordedWell: F10', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	645.0	1.764925
('2922 2603', 'recordedWell: F10', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	973.0	2.569373
('2923 2604', 'recordedWell: F11', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	311.0	1.10022
('2924 2605', 'recordedWell: F11', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	557.0	2.248368
('2925 2606', 'recordedWell: F11', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	876.0	2.853881
('2926 2607', 'recordedWell: F12', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	319.0	2.943287
('2927 2608', 'recordedWell: F12', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	658.0	1.586228
('2928 2609', 'recordedWell: F12', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Tozasertib', 'assayCompoundConcentration: 0.015243333')	937.0	1.921025
('2929 2610', 'recordedWell: F13', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	161.0	4.606844
('2930 2611', 'recordedWell: F13', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	176.0	15.217566
('2931 2612', 'recordedWell: F13', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	162.0	12.962963
('2932 2613', 'recordedWell: F14', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	298.0	0.777148
('2933 2614', 'recordedWell: F14', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	553.0	0.987275
('2934 2615', 'recordedWell: F14', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	985.0	1.624365
('2935 2616', 'recordedWell: F15', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	154.0	6.632547
('2936 2617', 'recordedWell: F15', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	152.0	15.78013
('2937 2618', 'recordedWell: F15', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 3.703706667')	205.0	9.756098
('2938 2619', 'recordedWell: F16', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	170.0	6.411488
('2939 2620', 'recordedWell: F16', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	99.0	26.821842
('2940 2621', 'recordedWell: F16', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	145.0	21.379311
('2941 2622', 'recordedWell: F17', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	259.0	1.418849
('2942 2623', 'recordedWell: F17', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	615.0	0.985488
('2943 2624', 'recordedWell: F17', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	784.0	1.658163
('2944 2625', 'recordedWell: F18', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	80.0	8.329995
('2945 2626', 'recordedWell: F18', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	133.0	26.49061
('2946 2627', 'recordedWell: F18', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 11.11111333')	155.0	21.290323
('2947 2628', 'recordedWell: F19', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	285.0	0.955454
('2948 2629', 'recordedWell: F19', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	584.0	1.745738
('2949 2630', 'recordedWell: F19', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: XMD-12', 'assayCompoundConcentration: 0.005083333')	972.0	1.54321
('2950 2631', 'recordedWell: F20', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	164.0	8.730983
('2951 2632', 'recordedWell: F20', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	164.0	26.621174
('2952 2633', 'recordedWell: F20', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	158.0	31.012659
('2953 2634', 'recordedWell: F21', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	244.0	0.738095
('2954 2635', 'recordedWell: F21', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	603.0	1.502218
('2955 2636', 'recordedWell: F21', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	874.0	2.059497
('2956 2637', 'recordedWell: F22', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	141.0	7.905869
('2957 2638', 'recordedWell: F22', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	147.0	21.907936
('2958 2639', 'recordedWell: F22', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: Taxol', 'assayCompoundConcentration: 0.015243333')	151.0	33.774834
('2959 2640', 'recordedWell: G03', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	135.0	3.592048
('2960 2641', 'recordedWell: G03', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	160.0	26.29929
('2961 2642', 'recordedWell: G03', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	161.0	26.086956
('2962 2643', 'recordedWell: G04', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	262.0	1.390885
('2963 2644', 'recordedWell: G04', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	618.0	2.667237
('2964 2645', 'recordedWell: G04', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	893.0	1.903695
('2965 2646', 'recordedWell: G05', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	119.0	4.77875
('2966 2647', 'recordedWell: G05', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	178.0	32.02969
('2967 2648', 'recordedWell: G05', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 3.703706667')	132.0	35.60606
('2968 2649', 'recordedWell: G06', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	157.0	34.098038
('2969 2650', 'recordedWell: G06', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	150.0	65.459625
('2970 2651', 'recordedWell: G06', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	147.0	50.340137
('2971 2652', 'recordedWell: G07', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	304.0	1.4213
('2972 2653', 'recordedWell: G07', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	603.0	2.369379
('2973 2654', 'recordedWell: G07', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	938.0	1.812367
('2974 2655', 'recordedWell: G08', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	200.0	45.812004
('2975 2656', 'recordedWell: G08', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	136.0	62.060196
('2976 2657', 'recordedWell: G08', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 3.703706667')	111.0	51.351353
('2977 2658', 'recordedWell: G09', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	295.0	2.396061
('2978 2659', 'recordedWell: G09', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	522.0	1.587109
('2979 2660', 'recordedWell: G09', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: RO-3306', 'assayCompoundConcentration: 0.005083333')	1000.0	3.7
('2980 2661', 'recordedWell: G10', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	298.0	2.076376
('2981 2662', 'recordedWell: G10', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	579.0	2.678232
('2982 2663', 'recordedWell: G10', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	935.0	4.59893
('2983 2664', 'recordedWell: G11', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	301.0	2.534896
('2984 2665', 'recordedWell: G11', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	614.0	1.488607
('2985 2666', 'recordedWell: G11', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: ', 'assayCompoundConcentration: ')	940.0	1.808511
('2986 2667', 'recordedWell: G12', 'day_timepoint: 1', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	302.0	2.886329
('2987 2668', 'recordedWell: G12', 'day_timepoint: 2', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	574.0	3.437413
('2988 2669', 'recordedWell: G12', 'day_timepoint: 3', 'cell_clName: PC-9', 'smallmolecule_smName: BI-2536', 'assayCompoundConcentration: 0.005083333')	799.0	6.508135
