	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('Palbociclib 8275', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	312.5	95.0	332.3333	596.5833	0.55018	0.5069
('Palbociclib 8276', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	312.5	95.0	258.6667	596.5833	0.44727	0.39662
('Palbociclib 8277', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	312.5	95.0	250.0	596.5833	0.45393	0.41618
('Palbociclib 8278', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	312.5	95.0	205.3333	596.5833	0.3845	0.31615
('Palbociclib 8279', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	312.5	95.0	231.6667	596.5833	0.46937	0.45267
('GSK2126458 8280', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0016596', 'replicate: 11')	625.0	172.2273	1142.0	1268.9167	0.88014	0.85597
('GSK2126458 8281', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	625.0	172.2273	1129.0	1268.9167	0.91404	0.90736
('GSK2126458 8282', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	625.0	172.2273	943.0	1268.9167	0.69932	0.67906
('GSK2126458 8283', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	625.0	172.2273	889.3333	1268.9167	0.68204	0.64003
('GSK2126458 8284', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	625.0	172.2273	530.0	1268.9167	0.42406	0.38791
('GSK2126458 8285', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	625.0	172.2273	385.3333	1268.9167	0.33208	0.27605
('GSK2126458 8286', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	625.0	172.2273	290.6667	1268.9167	0.24173	0.12936
('GSK2126458 8287', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	625.0	172.2273	244.6667	1268.9167	0.21581	0.079758
('GSK2126458 8288', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	625.0	172.2273	223.3333	1268.9167	0.2164	0.078692
('Nilotinib 8289', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	625.0	172.2273	1359.6667	1268.9167	1.0303	0.99945
('Nilotinib 8290', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	625.0	172.2273	1325.3333	1268.9167	1.0102	0.97311
('Nilotinib 8291', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	625.0	172.2273	1401.3333	1268.9167	1.1215	1.1119
('Nilotinib 8292', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	625.0	172.2273	1380.6667	1268.9167	1.0194	0.94663
('Nilotinib 8293', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	625.0	172.2273	1280.3333	1268.9167	0.99143	0.98376
('Nilotinib 8294', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	625.0	172.2273	1334.6667	1268.9167	1.0283	1.0141
('Nilotinib 8295', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	625.0	172.2273	1147.6667	1268.9167	0.98338	1.0289
('Nilotinib 8296', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	625.0	172.2273	726.3333	1268.9167	0.69281	0.7668
('Nilotinib 8297', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	625.0	172.2273	839.6667	1268.9167	0.95761	1.0476
('Taxol 8298', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00016596', 'replicate: 11')	625.0	172.2273	1286.6667	1268.9167	0.98682	0.94123
('Taxol 8299', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00033113', 'replicate: 11')	625.0	172.2273	1240.3333	1268.9167	1.034	1.0458
('Taxol 8300', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.001', 'replicate: 11')	625.0	172.2273	904.0	1268.9167	0.74987	0.79912
('Taxol 8301', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.0031623', 'replicate: 11')	625.0	172.2273	558.3333	1268.9167	0.53837	0.58413
('Taxol 8302', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	625.0	172.2273	347.6667	1268.9167	0.35042	0.30827
('Taxol 8303', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	625.0	172.2273	320.6667	1268.9167	0.27901	0.19709
('Taxol 8304', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	625.0	172.2273	261.3333	1268.9167	0.25545	0.1535
('Taxol 8305', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	625.0	172.2273	314.6667	1268.9167	0.30659	0.24053
('Taxol 8306', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	625.0	172.2273	271.3333	1268.9167	0.26665	0.17513
('Palbociclib 8307', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	625.0	172.2273	1323.3333	1268.9167	1.1162	1.1299
('Palbociclib 8308', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	625.0	172.2273	1153.0	1268.9167	0.95807	0.96967
('Palbociclib 8309', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	625.0	172.2273	1083.3333	1268.9167	0.89358	0.92738
('Palbociclib 8310', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	625.0	172.2273	1020.0	1268.9167	0.85148	0.89456
('Palbociclib 8311', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	625.0	172.2273	626.3333	1268.9167	0.50491	0.50457
('Palbociclib 8312', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	625.0	172.2273	536.3333	1268.9167	0.43782	0.43157
('Palbociclib 8313', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	625.0	172.2273	536.6667	1268.9167	0.45859	0.46889
('Palbociclib 8314', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	625.0	172.2273	414.3333	1268.9167	0.35911	0.32986
('Palbociclib 8315', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	625.0	172.2273	455.6667	1268.9167	0.42087	0.42579
('GSK2126458 8316', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0016596', 'replicate: 11')	1250.0	353.0909	2141.6667	2395.2083	0.88802	0.9028
('GSK2126458 8317', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	1250.0	353.0909	2196.3333	2395.2083	0.86635	0.84436
('GSK2126458 8318', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	1250.0	353.0909	2035.6667	2395.2083	0.79326	0.76776
('GSK2126458 8319', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	1250.0	353.0909	1439.3333	2395.2083	0.55955	0.54421
('GSK2126458 8320', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	1250.0	353.0909	1133.3333	2395.2083	0.45243	0.43659
('GSK2126458 8321', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	1250.0	353.0909	907.6667	2395.2083	0.3751	0.35113
('GSK2126458 8322', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	1250.0	353.0909	739.0	2395.2083	0.30817	0.25407
('GSK2126458 8323', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	1250.0	353.0909	568.3333	2395.2083	0.2452	0.15092
('GSK2126458 8324', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	1250.0	353.0909	488.0	2395.2083	0.21228	0.088562
('Nilotinib 8325', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	1250.0	353.0909	2653.6667	2395.2083	1.1155	1.0944
('Nilotinib 8326', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	1250.0	353.0909	2575.0	2395.2083	1.0764	1.0604
('Nilotinib 8327', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	1250.0	353.0909	2438.3333	2395.2083	1.0506	1.059
('Nilotinib 8328', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	1250.0	353.0909	2501.3333	2395.2083	1.042	1.0323
('Nilotinib 8329', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	1250.0	353.0909	2471.0	2395.2083	1.0625	1.0675
('Nilotinib 8330', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	1250.0	353.0909	2355.6667	2395.2083	0.96494	0.958
('Nilotinib 8331', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	1250.0	353.0909	2319.0	2395.2083	0.98936	1.0037
('Nilotinib 8332', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	1250.0	353.0909	1080.0	2395.2083	0.499	0.53358
('Nilotinib 8333', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	1250.0	353.0909	1148.3333	2395.2083	0.58855	0.64065
('Taxol 8334', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00016596', 'replicate: 11')	1250.0	353.0909	2327.6667	2395.2083	0.95313	0.94884
('Taxol 8335', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00033113', 'replicate: 11')	1250.0	353.0909	2550.3333	2395.2083	1.0836	1.0748
('Taxol 8336', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.001', 'replicate: 11')	1250.0	353.0909	2252.6667	2395.2083	0.95108	0.96663
('Taxol 8337', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.0031623', 'replicate: 11')	1250.0	353.0909	1332.3333	2395.2083	0.57365	0.61103
('Taxol 8338', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	1250.0	353.0909	787.0	2395.2083	0.36433	0.34181
('Taxol 8339', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	1250.0	353.0909	758.0	2395.2083	0.34194	0.31291
('Taxol 8340', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	1250.0	353.0909	541.0	2395.2083	0.25789	0.17017
('Taxol 8341', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	1250.0	353.0909	569.3333	2395.2083	0.25878	0.1764
('Taxol 8342', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	1250.0	353.0909	551.0	2395.2083	0.26271	0.1798
('Palbociclib 8343', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	1250.0	353.0909	2584.3333	2395.2083	1.0979	1.0872
('Palbociclib 8344', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	1250.0	353.0909	2495.0	2395.2083	1.0382	1.0272
('Palbociclib 8345', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	1250.0	353.0909	2172.3333	2395.2083	0.95343	0.98627
('Palbociclib 8346', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	1250.0	353.0909	1882.6667	2395.2083	0.81365	0.85505
('Palbociclib 8347', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	1250.0	353.0909	1319.0	2395.2083	0.53739	0.54972
('Palbociclib 8348', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	1250.0	353.0909	1131.0	2395.2083	0.48106	0.49915
('Palbociclib 8349', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	1250.0	353.0909	1005.3333	2395.2083	0.43116	0.4371
('Palbociclib 8350', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	1250.0	353.0909	886.6667	2395.2083	0.38283	0.37112
('Palbociclib 8351', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	1250.0	353.0909	910.3333	2395.2083	0.39209	0.38482
('GSK2126458 8352', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0016596', 'replicate: 11')	2500.0	703.3182	3582.0	3740.9167	0.93614	0.92996
('GSK2126458 8353', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	2500.0	703.3182	3391.3333	3740.9167	0.8722	0.86028
('GSK2126458 8354', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	2500.0	703.3182	2966.3333	3740.9167	0.74204	0.70823
('GSK2126458 8355', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	2500.0	703.3182	2602.3333	3740.9167	0.64605	0.60712
('GSK2126458 8356', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	2500.0	703.3182	2184.3333	3740.9167	0.54247	0.49235
('GSK2126458 8357', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	2500.0	703.3182	1726.6667	3740.9167	0.44567	0.38619
('GSK2126458 8358', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	2500.0	703.3182	1362.6667	3740.9167	0.36615	0.27511
('GSK2126458 8359', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	2500.0	703.3182	1132.6667	3740.9167	0.30878	0.1909
('GSK2126458 8360', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	2500.0	703.3182	888.3333	3740.9167	0.24539	0.087098
('Nilotinib 8361', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	2500.0	703.3182	4043.3333	3740.9167	1.0878	1.0794
('Nilotinib 8362', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	2500.0	703.3182	4027.6667	3740.9167	1.0947	1.0906
('Nilotinib 8363', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	2500.0	703.3182	3897.6667	3740.9167	1.0571	1.0566
('Nilotinib 8364', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	2500.0	703.3182	4030.6667	3740.9167	1.1042	1.101
('Nilotinib 8365', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	2500.0	703.3182	3910.3333	3740.9167	1.0706	1.0708
('Nilotinib 8366', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	2500.0	703.3182	3503.3333	3740.9167	0.9595	0.9677
('Nilotinib 8367', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	2500.0	703.3182	3571.6667	3740.9167	0.98858	1.0028
('Nilotinib 8368', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	2500.0	703.3182	1406.0	3740.9167	0.40128	0.34157
('Nilotinib 8369', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	2500.0	703.3182	1449.3333	3740.9167	0.42034	0.37533
('Taxol 8370', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00016596', 'replicate: 11')	2500.0	703.3182	3908.6667	3740.9167	1.0381	1.0301
('Taxol 8371', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.00033113', 'replicate: 11')	2500.0	703.3182	3991.0	3740.9167	1.0664	1.058
('Taxol 8372', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.001', 'replicate: 11')	2500.0	703.3182	3787.6667	3740.9167	1.0116	1.0074
('Taxol 8373', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.0031623', 'replicate: 11')	2500.0	703.3182	2820.3333	3740.9167	0.77568	0.78393
('Taxol 8374', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	2500.0	703.3182	1678.3333	3740.9167	0.45201	0.41591
('Taxol 8375', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	2500.0	703.3182	1462.0	3740.9167	0.40012	0.34372
('Taxol 8376', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	2500.0	703.3182	1161.3333	3740.9167	0.31951	0.21973
('Taxol 8377', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	2500.0	703.3182	1176.6667	3740.9167	0.31738	0.2148
('Taxol 8378', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	2500.0	703.3182	1031.3333	3740.9167	0.28362	0.15838
('Palbociclib 8379', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	2500.0	703.3182	3874.6667	3740.9167	1.0476	1.0481
('Palbociclib 8380', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	2500.0	703.3182	3855.3333	3740.9167	1.0555	1.0603
('Palbociclib 8381', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	2500.0	703.3182	3541.3333	3740.9167	0.94805	0.95497
('Palbociclib 8382', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	2500.0	703.3182	2824.6667	3740.9167	0.7506	0.76179
('Palbociclib 8383', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	2500.0	703.3182	2132.3333	3740.9167	0.57052	0.56457
('Palbociclib 8384', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 1', 'replicate: 11')	2500.0	703.3182	1827.6667	3740.9167	0.503	0.48552
('Palbociclib 8385', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 3.1623', 'replicate: 11')	2500.0	703.3182	1783.0	3740.9167	0.48467	0.45762
('Palbociclib 8386', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'replicate: 11')	2500.0	703.3182	1684.0	3740.9167	0.46712	0.43613
('Palbociclib 8387', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: MCF7', 'smallMolConcentration: 19.9526', 'replicate: 11')	2500.0	703.3182	1676.0	3740.9167	0.46284	0.42734
('GSK2126458 8388', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0016596', 'replicate: 11')	5000.0	1515.3182	4754.0	5308.5	0.90972	0.90696
('GSK2126458 8389', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.0033113', 'replicate: 11')	5000.0	1515.3182	4680.6667	5308.5	0.89575	0.88655
('GSK2126458 8390', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.01', 'replicate: 11')	5000.0	1515.3182	4173.6667	5308.5	0.80901	0.77272
('GSK2126458 8391', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.031623', 'replicate: 11')	5000.0	1515.3182	3730.0	5308.5	0.72534	0.64826
('GSK2126458 8392', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.1', 'replicate: 11')	5000.0	1515.3182	3588.6667	5308.5	0.70183	0.61304
('GSK2126458 8393', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: MCF7', 'smallMolConcentration: 0.31623', 'replicate: 11')	5000.0	1515.3182	3095.3333	5308.5	0.62634	0.52745
