	('averageVIPScore 0',)
('192187 875', 'clName: WM1552C', 'timePoint: 5', 'variable: p-p90RSK(T573)')	
('192188 876', 'clName: WM1552C', 'timePoint: 5', 'variable: p-AKT(T308)')	-0.56449
('192189 877', 'clName: WM1552C', 'timePoint: 5', 'variable: p-AKT(S473)')	-0.46578
('192190 878', 'clName: WM1552C', 'timePoint: 5', 'variable: p-mTOR(S2448)')	
('192191 879', 'clName: WM1552C', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	-0.47542
('192192 880', 'clName: WM1552C', 'timePoint: 5', 'variable: p-p70S6K(T389)')	
('192193 881', 'clName: WM1552C', 'timePoint: 5', 'variable: p-S6(S235/236)')	
('192194 882', 'clName: WM1552C', 'timePoint: 5', 'variable: p-AMPK(T172)')	-0.68836
('192195 883', 'clName: WM1552C', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	
('192196 884', 'clName: WM1552C', 'timePoint: 5', 'variable: Total c-Jun')	1.4197
('192197 885', 'clName: WM1552C', 'timePoint: 5', 'variable: p-cJun(S63)')	1.1822
('192198 886', 'clName: WM1552C', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	
('192199 887', 'clName: WM1552C', 'timePoint: 5', 'variable: p-HSP27(S82)')	0.96946
('192200 888', 'clName: WM1552C', 'timePoint: 5', 'variable: p-NFKB(S536)')	-0.49639
('192201 889', 'clName: WM1552C', 'timePoint: 5', 'variable: Bim')	-0.58522
('192202 890', 'clName: WM1552C', 'timePoint: 5', 'variable: cPARP')	-0.47236
('192203 891', 'clName: WM1552C', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-0.35061
('192204 892', 'clName: WM1552C', 'timePoint: 5', 'variable: p27 Kip1')	
('192205 893', 'clName: WM1552C', 'timePoint: 10', 'variable: p-p90RSK(S380)')	0.89499
('192206 894', 'clName: WM1552C', 'timePoint: 10', 'variable: p-p90RSK(T573)')	0.45496
('192207 895', 'clName: WM1552C', 'timePoint: 10', 'variable: p-AKT(T308)')	-1.0356
('192208 896', 'clName: WM1552C', 'timePoint: 10', 'variable: p-AKT(S473)')	
('192209 897', 'clName: WM1552C', 'timePoint: 10', 'variable: p-mTOR(S2448)')	0.64542
('192210 898', 'clName: WM1552C', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	0.69219
('192211 899', 'clName: WM1552C', 'timePoint: 10', 'variable: p-p70S6K(T389)')	0.77814
('192212 900', 'clName: WM1552C', 'timePoint: 10', 'variable: p-S6(S235/236)')	0.79069
('192213 901', 'clName: WM1552C', 'timePoint: 10', 'variable: p-AMPK(T172)')	
('192214 902', 'clName: WM1552C', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	0.93172
('192215 903', 'clName: WM1552C', 'timePoint: 10', 'variable: Total c-Jun')	1.9743
('192216 904', 'clName: WM1552C', 'timePoint: 10', 'variable: p-cJun(S63)')	1.0538
('192217 905', 'clName: WM1552C', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	0.61283
('192218 906', 'clName: WM1552C', 'timePoint: 10', 'variable: p-HSP27(S82)')	0.41162
('192219 907', 'clName: WM1552C', 'timePoint: 10', 'variable: p-NFKB(S536)')	0.52127
('192220 908', 'clName: WM1552C', 'timePoint: 10', 'variable: Bim')	
('192221 909', 'clName: WM1552C', 'timePoint: 10', 'variable: cPARP')	
('192222 910', 'clName: WM1552C', 'timePoint: 10', 'variable: p-Histone H3(S10)')	
('192223 911', 'clName: WM1552C', 'timePoint: 10', 'variable: p27 Kip1')	
('192224 912', 'clName: WM1552C', 'timePoint: 24', 'variable: p-p90RSK(S380)')	0.62822
('192225 913', 'clName: WM1552C', 'timePoint: 24', 'variable: p-p90RSK(T573)')	
('192226 914', 'clName: WM1552C', 'timePoint: 24', 'variable: p-AKT(T308)')	-0.98743
('192227 915', 'clName: WM1552C', 'timePoint: 24', 'variable: p-AKT(S473)')	-0.97161
('192228 916', 'clName: WM1552C', 'timePoint: 24', 'variable: p-mTOR(S2448)')	0.33699
('192229 917', 'clName: WM1552C', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	-0.30308
('192230 918', 'clName: WM1552C', 'timePoint: 24', 'variable: p-p70S6K(T389)')	
('192231 919', 'clName: WM1552C', 'timePoint: 24', 'variable: p-S6(S235/236)')	
('192232 920', 'clName: WM1552C', 'timePoint: 24', 'variable: p-AMPK(T172)')	-0.31682
('192233 921', 'clName: WM1552C', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	
('192234 922', 'clName: WM1552C', 'timePoint: 24', 'variable: Total c-Jun')	0.62581
('192235 923', 'clName: WM1552C', 'timePoint: 24', 'variable: p-cJun(S63)')	-1.1751
('192236 924', 'clName: WM1552C', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	
('192237 925', 'clName: WM1552C', 'timePoint: 24', 'variable: p-HSP27(S82)')	0.39
('192238 926', 'clName: WM1552C', 'timePoint: 24', 'variable: p-NFKB(S536)')	0.70333
('192239 927', 'clName: WM1552C', 'timePoint: 24', 'variable: Bim')	-1.646
('192240 928', 'clName: WM1552C', 'timePoint: 24', 'variable: cPARP')	
('192241 929', 'clName: WM1552C', 'timePoint: 24', 'variable: p-Histone H3(S10)')	1.4098
('192242 930', 'clName: WM1552C', 'timePoint: 24', 'variable: p27 Kip1')	
('192243 931', 'clName: WM1552C', 'timePoint: 48', 'variable: p-p90RSK(S380)')	1.9
('192244 932', 'clName: WM1552C', 'timePoint: 48', 'variable: p-p90RSK(T573)')	1.4538
('192245 933', 'clName: WM1552C', 'timePoint: 48', 'variable: p-AKT(T308)')	0.58462
('192246 934', 'clName: WM1552C', 'timePoint: 48', 'variable: p-AKT(S473)')	-1.3277
('192247 935', 'clName: WM1552C', 'timePoint: 48', 'variable: p-mTOR(S2448)')	1.2703
('192248 936', 'clName: WM1552C', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	1.4441
('192249 937', 'clName: WM1552C', 'timePoint: 48', 'variable: p-p70S6K(T389)')	0.95501
('192250 938', 'clName: WM1552C', 'timePoint: 48', 'variable: p-S6(S235/236)')	-0.34452
('192251 939', 'clName: WM1552C', 'timePoint: 48', 'variable: p-AMPK(T172)')	0.70236
('192252 940', 'clName: WM1552C', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	1.5211
('192253 941', 'clName: WM1552C', 'timePoint: 48', 'variable: Total c-Jun')	0.40568
('192254 942', 'clName: WM1552C', 'timePoint: 48', 'variable: p-cJun(S63)')	-1.6459
('192255 943', 'clName: WM1552C', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	
('192256 944', 'clName: WM1552C', 'timePoint: 48', 'variable: p-HSP27(S82)')	1.018
('192257 945', 'clName: WM1552C', 'timePoint: 48', 'variable: p-NFKB(S536)')	2.0087
('192258 946', 'clName: WM1552C', 'timePoint: 48', 'variable: Bim')	0.4278
('192259 947', 'clName: WM1552C', 'timePoint: 48', 'variable: cPARP')	1.9241
('192260 948', 'clName: WM1552C', 'timePoint: 48', 'variable: p-Histone H3(S10)')	2.8556
('192261 949', 'clName: WM1552C', 'timePoint: 48', 'variable: p27 Kip1')	
