	('pAkt10min 0',)	('pAkt30min 1',)	('pAkt90min 2',)	('pErk10min 3',)	('pErk30min 4',)	('pErk90min 5',)	('ligrespelisapaktAU 6',)	('ligrespelisaperkAU 7',)
('115376 911', 'protein_ppName: NGF-beta', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	6299.753854	5574.718306	6091.377892	2409.068011	2435.988702	3250.546799		
('115377 912', 'protein_ppName: NGF-beta', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	22872.34522	21981.95871	22663.53957	4037.823529	3605.719808	3026.739284		
('115378 913', 'protein_ppName: NGF-beta', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	22407.53813	23913.61526	26182.07818	3633.295493	3537.542557	8559.00215		
('115379 914', 'protein_ppName: NGF-beta', 'cell_clName: T47D', 'ligandConcentration: 1.0')	7554.74435	6133.667079	7716.973127	1389.270468	1553.901963	2735.638278		
('115380 915', 'protein_ppName: NGF-beta', 'cell_clName: T47D', 'ligandConcentration: 100.0')	5946.140696	6122.143615	6969.47838	1769.311071	1177.945833	2736.49066		
('115381 916', 'protein_ppName: NGF-beta', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	4660.060548	4718.683359	4008.532329	26947.89411	26103.99502	25185.01453		
('115382 917', 'protein_ppName: NGF-beta', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	4149.5413	5398.491929	4025.618374	23840.72608	27699.04557	29756.54607		
('115383 918', 'protein_ppName: NGF-beta', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	17278.78146	19131.8319	21514.2795	2073.098393	2073.098393	2073.098393		
('115384 919', 'protein_ppName: NGF-beta', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	23281.57422	21344.0512	24486.00355	2073.098393	2073.098393	2073.098393		
('115385 920', 'protein_ppName: NGF-beta', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	3750.837152	3291.135512	3133.968824	776.5974066	40.03814833	40.03814833		
('115386 921', 'protein_ppName: NGF-beta', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	3250.35083	3168.781464	2977.676093	40.03814833	40.03814833	450.8824412		
('115387 922', 'protein_ppName: NGF-beta', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	5864.046204	6814.843767	6751.457263	16008.72268	18426.78482	17394.73729		
('115388 923', 'protein_ppName: NGF-beta', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	7823.908155	6493.157258	7186.873788	18265.63848	15974.85189	22019.68936		
('115389 924', 'protein_ppName: NGF-beta', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	6933.144007	4441.150465	6414.615698	7938.546082	7367.179773	8718.729582		
('115390 925', 'protein_ppName: NGF-beta', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	6567.498737	5609.590944	6428.948483	8695.561191	8095.596399	10190.76709		
('115391 926', 'protein_ppName: NGF-beta', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	14082.74365	13424.14829	14636.08212	248.3144238	248.3144238	248.3144238		
('115392 927', 'protein_ppName: NGF-beta', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	14562.10639	11575.60044	12226.86869	248.3144238	248.3144238	653.036831		
('115393 928', 'protein_ppName: NGF-beta', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	3095.473788	3561.452465	2836.860478	3077.164256	3077.164256	3077.164256		
('115394 929', 'protein_ppName: NGF-beta', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	2953.058448	2936.011764	3385.267427	3077.164256	3077.164256	3077.164256		
('115395 930', 'protein_ppName: NGF-beta', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	3584.099886	2565.228475	3333.476031	3042.937446	1756.185614	1606.384004		
('115396 931', 'protein_ppName: NGF-beta', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	2724.431583	3140.096942	3078.295378	2206.984351	848.9253853	2366.543321		
('115397 932', 'protein_ppName: NGF-beta', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	2607.414338	1918.599449	1389.894743	407.4253875	407.4253875	407.4253875		
('115398 933', 'protein_ppName: NGF-beta', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	4158.178113	599.6978333	1741.434274	407.4253875	407.4253875	714.1820372		
('115399 934', 'protein_ppName: NGF-beta', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	3015.713091	1968.672504	1113.699687	7826.420493	6543.64047	8360.778002		
('115400 935', 'protein_ppName: NGF-beta', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	2121.486353	1221.387299	2230.199561	7978.661668	9043.383898	10231.33519		
('115401 936', 'protein_ppName: PDGF-BB', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1416.233764	1483.485704	1441.30898	248.7780028	248.7780028	248.7780028		
('115402 937', 'protein_ppName: PDGF-BB', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	1386.961858	889.1092723	1427.145155	248.7780028	248.7780028	248.7780028		
('115403 938', 'protein_ppName: PDGF-BB', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	10392.42736	8441.524874	9046.028031	2173.008132	2173.008132	2173.008132		
('115404 939', 'protein_ppName: PDGF-BB', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	9072.384525	8639.720491	9246.441769	2173.008132	2173.008132	3429.988406		
('115405 940', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	867.1643343	547.0725358	547.0725358	248.661126	31.58511031	31.58511031		
('115406 941', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	1397.196128	547.0725358	1425.051529	825.1540915	31.58511031	31.58511031		
('115407 942', 'protein_ppName: PDGF-BB', 'cell_clName: AU565', 'ligandConcentration: 1.0')	9378.27971	8875.429599	9192.768791	10981.6901	9623.365398	8803.820307		
('115408 943', 'protein_ppName: PDGF-BB', 'cell_clName: AU565', 'ligandConcentration: 100.0')	9011.335035	7616.605506	10801.88914	10629.1602	5640.4564	10968.14527		
('115409 944', 'protein_ppName: PDGF-BB', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	6646.595757	7700.166686	7400.075594	205.6195118	708.1206015	543.9762204		
('115410 945', 'protein_ppName: PDGF-BB', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	7552.363974	7964.933154	9056.968673	861.6547639	538.7206915	1661.916466		
('115411 946', 'protein_ppName: PDGF-BB', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	17716.97511	7240.984623	21217.04367	9134.734541	4601.650932	7617.698256		
('115412 947', 'protein_ppName: PDGF-BB', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	15832.18008	17132.84174	20772.26359	8385.805066	7808.263271	8735.947331		
('115413 948', 'protein_ppName: PDGF-BB', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	2888.533488	2349.870079	2231.460082	281.9715551	281.9715551	281.9715551		
('115414 949', 'protein_ppName: PDGF-BB', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	2464.094896	2141.733886	2872.609385	281.9715551	281.9715551	281.9715551		
('115415 950', 'protein_ppName: PDGF-BB', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	9987.663858	10058.10295	10050.27638	2539.16892	2647.080852	2500.776412		
('115416 951', 'protein_ppName: PDGF-BB', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	11474.31999	10183.42583	11026.8361	2759.796811	3116.803467	3770.826004		
('115417 952', 'protein_ppName: PDGF-BB', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	4718.915481	3934.958121	4421.415377	70.21348513	70.21348513	70.21348513		
('115418 953', 'protein_ppName: PDGF-BB', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	5095.451718	4219.97457	4364.104048	70.21348513	70.21348513	237.2670878		
('115419 954', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	11236.29926	10986.17738	10402.38882	2294.37206	2294.37206	2294.37206		
('115420 955', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	11795.48567	10699.53669	10701.97128	2294.37206	2294.37206	2294.37206		
('115421 956', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	17643.5411	18893.95284	24925.69365	23177.15461	19560.29409	26613.71845		
('115422 957', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	26354.72423	21799.14507	30903.99261	25184.70732	24199.70991	23904.55412		
('115423 958', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935		
('115424 959', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935		
('115425 960', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	15636.82041	14808.02067	15221.12835	4489.213202	3986.93108	3685.109472		
('115426 961', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	15765.56905	13924.94914	29531.72693	4667.08886	3764.299817	6355.091901		
('115427 962', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	6312.573401	5791.421932	5891.983446	2649.337784	2649.337784	2649.337784		
('115428 963', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	6741.213556	5527.876861	6405.084715	7690.429276	4165.452925	2649.337784		
('115429 964', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	804.5407064	804.5407064	2055.547634	594.2013719	343.1177563	343.1177563		
('115430 965', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	1497.890493	804.5407064	2953.994437	674.0744854	343.1177563	828.7529632		
('115431 966', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	2967.29084	3015.64648	3951.161554	8920.672065	6267.718317	5776.947838		
('115432 967', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	3043.811874	5025.686474	4840.844767	9431.568778	9102.582258	8934.089554		
('115433 968', 'protein_ppName: PDGF-BB', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	51873.94828	45262.98928	55615.64669	4276.677992	3818.837057	4288.913255		
('115434 969', 'protein_ppName: PDGF-BB', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	54252.80992	56720.78088	56512.89221	5336.533136	4166.985912	4207.748313		
('115435 970', 'protein_ppName: PDGF-BB', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	3016.299025	2442.040592	2758.218669	768.077733	317.9042659	330.6309744		
('115436 971', 'protein_ppName: PDGF-BB', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	2415.955901	2562.978706	3601.755431	797.9087768	536.4696896	656.380557		
('115437 972', 'protein_ppName: PDGF-BB', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	9419.580635	9936.929022	10939.48592	389.867648	389.867648	1333.710121		
('115438 973', 'protein_ppName: PDGF-BB', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	14553.66723	12259.64012	11307.88497	595.6207578	1236.336549	389.867648		
('115439 974', 'protein_ppName: PDGF-BB', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	10069.90556	15627.63218	13348.33252	5201.691043	6683.351368	6306.81595		
('115440 975', 'protein_ppName: PDGF-BB', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	76158.01681	80828.60806	72417.17158	53896.4353	30576.29813	14809.15659		
('115441 976', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	1348.598754	1323.463805	1132.019281		
('115442 977', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	842.221377	1177.441724	1045.842315	1740.344879		
('115443 978', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	3853.344975	3982.249068	8123.376412	2204.406079	1912.830613	2668.829893		
('115444 979', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	22301.96916	26430.04414	19380.33361	17351.55841	16160.04242	5122.495383		
('115445 980', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	14305.36263	13054.61004	13117.06313	22732.45962	23542.22107	22785.2993		
('115446 981', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	12023.02447	13654.62468	15169.87826	23079.66262	23187.20724	27394.44606		
('115447 982', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	1143.199462	751.2088921	1139.128375	166.1702235	166.1702235	166.1702235		
('115448 983', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	1559.209442	751.2088921	1750.652289	166.1702235	166.1702235	166.1702235		
('115449 984', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	21016.47081	23722.12154	34283.29629	43.43729105	108.8896192	43.43729105		
('115450 985', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	25878.65236	30311.66104	29323.30558	43.43729105	88.42143702	331.1399643		
('115451 986', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	2448.203639	1764.288861	2490.128271	2360.487221	2360.487221	2360.487221		
('115452 987', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	3419.953054	1904.003466	3999.005	2360.487221	2360.487221	2360.487221		
('115453 988', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-453', 'ligandConcentration: 1.0')	5884.210491	5546.619276	6021.281387	1691.198589	1409.810032	1854.968365		
('115454 989', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-453', 'ligandConcentration: 100.0')	6058.14248	5022.708327	7694.029744	1429.97273	1671.035892	3141.329219		
('115455 990', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-468', 'ligandConcentration: 1.0')	19237.14515	19849.77111	18477.72187	4725.65544	4597.355939	4854.535482		
('115456 991', 'protein_ppName: PDGF-BB', 'cell_clName: MDA-MB-468', 'ligandConcentration: 100.0')	20075.4324	20871.83593	23898.90488	5612.649105	4011.082372	4233.756025		
('115457 992', 'protein_ppName: PDGF-BB', 'cell_clName: T47D', 'ligandConcentration: 1.0')	5355.923238	5431.906083	5881.591289	1295.965081	986.489531	1379.68117		
('115458 993', 'protein_ppName: PDGF-BB', 'cell_clName: T47D', 'ligandConcentration: 100.0')	5284.261691	5100.516445	6350.45226	1569.549261	1036.506089	2569.728211		
('115459 994', 'protein_ppName: PDGF-BB', 'cell_clName: UACC-812', 'ligandConcentration: 1.0')	3137.045825	4110.852209	3741.83291	23745.49414	27273.03218	25923.34572		
('115460 995', 'protein_ppName: PDGF-BB', 'cell_clName: UACC-812', 'ligandConcentration: 100.0')	3250.756402	3721.89919	3699.510579	24596.47811	26330.46607	27571.94698		
('115461 996', 'protein_ppName: PDGF-BB', 'cell_clName: UACC-893', 'ligandConcentration: 1.0')	25062.44872	24971.88128	26087.98864	2073.098393	2073.098393	2073.098393		
('115462 997', 'protein_ppName: PDGF-BB', 'cell_clName: UACC-893', 'ligandConcentration: 100.0')	23624.81092	23795.57385	26418.07327	2073.098393	2073.098393	2073.098393		
('115463 998', 'protein_ppName: PDGF-BB', 'cell_clName: ZR-75-1', 'ligandConcentration: 1.0')	4017.539846	3610.421315	3663.441403	631.1099445	40.03814833	73.36447576		
('115464 999', 'protein_ppName: PDGF-BB', 'cell_clName: ZR-75-1', 'ligandConcentration: 100.0')	3680.046595	2498.31041	2563.565902	419.816728	40.03814833	197.2100279		
('115465 1000', 'protein_ppName: PDGF-BB', 'cell_clName: ZR-75-30', 'ligandConcentration: 1.0')	6663.081849	6283.250412	7414.333821	16192.00641	16194.60741	16086.00125		
('115466 1001', 'protein_ppName: PDGF-BB', 'cell_clName: ZR-75-30', 'ligandConcentration: 100.0')	7491.982288	6468.412142	6630.779111	17893.66671	16404.79704	16583.74577		
('115467 1002', 'protein_ppName: PDGF-BB', 'cell_clName: 184B5', 'ligandConcentration: 1.0')	3886.869821	4195.502457	5211.139523	9584.678362	7177.005897	7662.486256		
('115468 1003', 'protein_ppName: PDGF-BB', 'cell_clName: 184B5', 'ligandConcentration: 100.0')	4976.08185	4099.950557	6839.503145	9553.455335	8798.551929	8407.91717		
('115469 1004', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1187', 'ligandConcentration: 1.0')	15495.18695	15754.59518	16944.54766	248.3144238	248.3144238	248.3144238		
('115470 1005', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1187', 'ligandConcentration: 100.0')	19175.09208	15591.42585	14907.8901	248.3144238	248.3144238	248.3144238		
('115471 1006', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1500', 'ligandConcentration: 1.0')	1244.241173	1244.241173	1244.241173	3077.164256	3077.164256	3077.164256		
('115472 1007', 'protein_ppName: PDGF-BB', 'cell_clName: HCC1500', 'ligandConcentration: 100.0')	1244.241173	1244.241173	2026.363237	3077.164256	3077.164256	3077.164256		
('115473 1008', 'protein_ppName: PDGF-BB', 'cell_clName: MCF 10A', 'ligandConcentration: 1.0')	4015.714036	2672.598013	3225.394493	2377.128314	1708.618485	1600.80837		
('115474 1009', 'protein_ppName: PDGF-BB', 'cell_clName: MCF 10A', 'ligandConcentration: 100.0')	2945.863455	1989.959318	3146.362539	2658.131566	1055.877246	2524.795501		
('115475 1010', 'protein_ppName: PDGF-BB', 'cell_clName: MCF 10F', 'ligandConcentration: 1.0')	1996.122133	3169.918935	1711.458837	407.4253875	407.4253875	407.4253875		
('115476 1011', 'protein_ppName: PDGF-BB', 'cell_clName: MCF 10F', 'ligandConcentration: 100.0')	2330.813401	1748.359634	2592.529983	407.4253875	407.4253875	407.4253875		
('115477 1012', 'protein_ppName: PDGF-BB', 'cell_clName: MCF12A', 'ligandConcentration: 1.0')	1214.394597	2464.221989	1065.403425	6370.211754	7717.294997	8039.777098		
('115478 1013', 'protein_ppName: PDGF-BB', 'cell_clName: MCF12A', 'ligandConcentration: 100.0')	2460.026368	687.1464152	1745.185747	10132.28826	8688.701888	8505.709798		
('115479 1014', 'protein_ppName: SCF', 'cell_clName: MCF7', 'ligandConcentration: 1.0')	1789.424329	889.1092723	889.1092723	248.7780028	248.7780028	248.7780028		
('115480 1015', 'protein_ppName: SCF', 'cell_clName: MCF7', 'ligandConcentration: 100.0')	2056.333746	2025.403524	1410.778068	248.7780028	248.7780028	248.7780028		
('115481 1016', 'protein_ppName: SCF', 'cell_clName: SK-BR-3', 'ligandConcentration: 1.0')	8504.415123	7940.621006	8342.231349	2173.008132	2173.008132	3325.460073		
('115482 1017', 'protein_ppName: SCF', 'cell_clName: SK-BR-3', 'ligandConcentration: 100.0')	8509.242797	8577.221676	8672.60087	2173.008132	2173.008132	2173.008132		
('115483 1018', 'protein_ppName: SCF', 'cell_clName: MDA-MB-231', 'ligandConcentration: 1.0')	547.0725358	1116.401997	976.2484227	1066.021631	115.3493609	31.58511031		
('115484 1019', 'protein_ppName: SCF', 'cell_clName: MDA-MB-231', 'ligandConcentration: 100.0')	547.0725358	547.0725358	1136.660471	952.6313804	31.58511031	31.58511031		
('115485 1020', 'protein_ppName: SCF', 'cell_clName: AU565', 'ligandConcentration: 1.0')	8252.189924	8703.395969	9201.376135	9325.412224	9067.663025	7642.375854		
('115486 1021', 'protein_ppName: SCF', 'cell_clName: AU565', 'ligandConcentration: 100.0')	8517.771796	8431.585099	11127.94893	9406.018874	5651.219408	6598.960201		
('115487 1022', 'protein_ppName: SCF', 'cell_clName: BT-20', 'ligandConcentration: 1.0')	7258.440673	7951.251871	8399.930667	312.6998945	845.3923725	127.5798655		
('115488 1023', 'protein_ppName: SCF', 'cell_clName: BT-20', 'ligandConcentration: 100.0')	8005.192011	7821.167541	8648.773018	639.5012429	796.0567007	1022.460727		
('115489 1024', 'protein_ppName: SCF', 'cell_clName: BT-474', 'ligandConcentration: 1.0')	19358.6905	16504.17468	20635.41531	7791.11281	7611.656616	7624.402527		
('115490 1025', 'protein_ppName: SCF', 'cell_clName: BT-474', 'ligandConcentration: 100.0')	16025.34489	15808.42878	19503.79606	8021.240822	6701.512802	7443.815962		
('115491 1026', 'protein_ppName: SCF', 'cell_clName: BT-483', 'ligandConcentration: 1.0')	2669.679149	2660.185934	1631.819811	281.9715551	281.9715551	281.9715551		
('115492 1027', 'protein_ppName: SCF', 'cell_clName: BT-483', 'ligandConcentration: 100.0')	2129.382499	1036.160565	3023.786287	281.9715551	281.9715551	281.9715551		
('115493 1028', 'protein_ppName: SCF', 'cell_clName: BT-549', 'ligandConcentration: 1.0')	9162.352517	9925.34483	10109.46479	2423.276746	2309.052085	2586.812158		
('115494 1029', 'protein_ppName: SCF', 'cell_clName: BT-549', 'ligandConcentration: 100.0')	9593.10712	9487.252821	10553.62238	2691.587576	2070.875603	3126.213007		
('115495 1030', 'protein_ppName: SCF', 'cell_clName: CAMA-1', 'ligandConcentration: 1.0')	3615.814275	3705.226432	2768.546947	70.21348513	70.21348513	70.21348513		
('115496 1031', 'protein_ppName: SCF', 'cell_clName: CAMA-1', 'ligandConcentration: 100.0')	4336.948044	3595.143287	4484.238968	536.6276675	70.21348513	70.21348513		
('115497 1032', 'protein_ppName: SCF', 'cell_clName: HCC1395', 'ligandConcentration: 1.0')	9572.194331	10079.86999	10592.41482	2294.37206	2294.37206	2294.37206		
('115498 1033', 'protein_ppName: SCF', 'cell_clName: HCC1395', 'ligandConcentration: 100.0')	9019.41473	8947.145908	10804.60838	2294.37206	2294.37206	2294.37206		
('115499 1034', 'protein_ppName: SCF', 'cell_clName: HCC1419', 'ligandConcentration: 1.0')	19322.76586	18868.47009	24005.8386	26257.33984	23164.6353	28502.85294		
('115500 1035', 'protein_ppName: SCF', 'cell_clName: HCC1419', 'ligandConcentration: 100.0')	18281.16881	18899.06536	25518.18735	26252.43826	27501.62103	25434.68749		
('115501 1036', 'protein_ppName: SCF', 'cell_clName: HCC1428', 'ligandConcentration: 1.0')	1040.118819	1040.118819	1646.922487	103.8606935	103.8606935	103.8606935		
('115502 1037', 'protein_ppName: SCF', 'cell_clName: HCC1428', 'ligandConcentration: 100.0')	1040.118819	1040.118819	2128.017096	103.8606935	103.8606935	171.0049756		
('115503 1038', 'protein_ppName: SCF', 'cell_clName: HCC1569', 'ligandConcentration: 1.0')	15859.38952	13693.29557	12757.04867	3899.171868	3524.849366	3541.190736		
('115504 1039', 'protein_ppName: SCF', 'cell_clName: HCC1569', 'ligandConcentration: 100.0')	16696.17733	13121.28826	29954.78053	4530.878919	3142.881777	5488.999269		
('115505 1040', 'protein_ppName: SCF', 'cell_clName: HCC1806', 'ligandConcentration: 1.0')	6120.292395	6113.165989	5913.230695	2649.337784	2649.337784	2649.337784		
('115506 1041', 'protein_ppName: SCF', 'cell_clName: HCC1806', 'ligandConcentration: 100.0')	6387.53264	5575.254267	5887.892361	4560.813179	2649.337784	2649.337784		
('115507 1042', 'protein_ppName: SCF', 'cell_clName: HCC1937', 'ligandConcentration: 1.0')	1922.988569	804.5407064	2035.262667	343.1177563	343.1177563	343.1177563		
('115508 1043', 'protein_ppName: SCF', 'cell_clName: HCC1937', 'ligandConcentration: 100.0')	1340.238878	2078.589782	2926.422637	646.2994178	343.1177563	343.1177563		
('115509 1044', 'protein_ppName: SCF', 'cell_clName: HCC1954', 'ligandConcentration: 1.0')	2404.184864	2736.516322	5744.661153	5523.660471	5303.142742	5747.274544		
('115510 1045', 'protein_ppName: SCF', 'cell_clName: HCC1954', 'ligandConcentration: 100.0')	3964.386165	3184.436941	4804.704226	4804.179853	5999.820078	5904.736523		
('115511 1046', 'protein_ppName: SCF', 'cell_clName: HCC202', 'ligandConcentration: 1.0')	47686.70327	48711.262	48288.63773	3561.307666	3380.78846	3871.409432		
('115512 1047', 'protein_ppName: SCF', 'cell_clName: HCC202', 'ligandConcentration: 100.0')	50314.93209	49858.56932	65368.35425	3571.023904	4426.085605	4574.021061		
('115513 1048', 'protein_ppName: SCF', 'cell_clName: HCC38', 'ligandConcentration: 1.0')	2950.692074	3225.63526	3600.306281	518.3273604	863.1670058	429.9624833		
('115514 1049', 'protein_ppName: SCF', 'cell_clName: HCC38', 'ligandConcentration: 100.0')	7024.514857	4353.468809	4144.396056	7261.361771	550.6405636	549.7830904		
('115515 1050', 'protein_ppName: SCF', 'cell_clName: HCC70', 'ligandConcentration: 1.0')	11628.247	13962.18977	13316.62745	389.867648	389.867648	389.867648		
('115516 1051', 'protein_ppName: SCF', 'cell_clName: HCC70', 'ligandConcentration: 100.0')	39390.1913	34373.60534	19902.36529	1803.595813	601.5439744	691.0427502		
('115517 1052', 'protein_ppName: SCF', 'cell_clName: Hs 578T', 'ligandConcentration: 1.0')	3079.905053	3391.518646	3154.566336	3509.66821	3768.146571	4301.84761		
('115518 1053', 'protein_ppName: SCF', 'cell_clName: Hs 578T', 'ligandConcentration: 100.0')	2780.055707	2728.274495	3332.697412	3738.969118	4308.429859	5645.704133		
('115519 1054', 'protein_ppName: SCF', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 1.0')	842.221377	842.221377	842.221377	1009.456485	1098.266636	1065.172287		
('115520 1055', 'protein_ppName: SCF', 'cell_clName: MDA-MB-134-VI', 'ligandConcentration: 100.0')	842.221377	842.221377	1299.326315	1150.990183	1526.757662	1369.424854		
('115521 1056', 'protein_ppName: SCF', 'cell_clName: MDA-MB-157', 'ligandConcentration: 1.0')	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021		
('115522 1057', 'protein_ppName: SCF', 'cell_clName: MDA-MB-157', 'ligandConcentration: 100.0')	10257.58231	2890.041736	2326.88424	14650.59074	2540.934001	466.8929438		
('115523 1058', 'protein_ppName: SCF', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 1.0')	12519.58466	13641.94385	14173.27065	23573.69754	25932.59699	22922.25111		
('115524 1059', 'protein_ppName: SCF', 'cell_clName: MDA-MB-175-VII', 'ligandConcentration: 100.0')	11296.72989	14478.13895	15410.18	23646.32659	22513.26095	23621.32028		
('115525 1060', 'protein_ppName: SCF', 'cell_clName: MDA-MB-361', 'ligandConcentration: 1.0')	1132.512859	1660.986607	751.2088921	166.1702235	166.1702235	166.1702235		
('115526 1061', 'protein_ppName: SCF', 'cell_clName: MDA-MB-361', 'ligandConcentration: 100.0')	751.2088921	1135.057289	1269.504923	166.1702235	166.1702235	166.1702235		
('115527 1062', 'protein_ppName: SCF', 'cell_clName: MDA-MB-415', 'ligandConcentration: 1.0')	20733.4079	27870.25603	29229.01837	43.43729105	43.43729105	43.43729105		
('115528 1063', 'protein_ppName: SCF', 'cell_clName: MDA-MB-415', 'ligandConcentration: 100.0')	27041.49452	33596.61969	35816.24345	1110.420147	43.43729105	43.43729105		
('115529 1064', 'protein_ppName: SCF', 'cell_clName: MDA-MB-436', 'ligandConcentration: 1.0')	3430.408586	4092.284743	2764.022199	2360.487221	2360.487221	2360.487221		
('115530 1065', 'protein_ppName: SCF', 'cell_clName: MDA-MB-436', 'ligandConcentration: 100.0')	5641.036	2846.128875	4376.121677	4123.484654	2360.487221	3739.907088		
