	('meanRelativeCellCount 0',)	('standardErroroftheMeanforRelativeCellCount 1',)	('meanNormalizedGrowthRateInhibitionValue 2',)	('standardErroroftheMeanforNormalizedGrowthRateInhibitionValue 3',)
('CGP60474 3573', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.031129	0.0075765	-0.28147	0.13618
('CGP60474 3574', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.04219	0.0058106	-0.21079	0.111
('CGP60474 3575', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.034532	0.0042091	-0.25167	0.098827
('PD173074 3576', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0379	0.0026019	1.0217	0.0018274
('PD173074 3577', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0089	0.0014744	1.0053	0.0014388
('PD173074 3578', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.99786	0.0036045	0.99814	0.0021889
('PD173074 3579', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.98978	0.0063351	0.99291	0.0045673
('PD173074 3580', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.97713	0.014965	0.98446	0.0092847
('PD173074 3581', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.51717	0.11882	0.64403	0.084033
('Crizotinib 3582', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.97737	0.02427	0.98808	0.012106
('Crizotinib 3583', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.93538	0.038061	0.96356	0.018304
('Crizotinib 3584', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.8891	0.027937	0.93397	0.012646
('Crizotinib 3585', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.84384	0.031678	0.90625	0.0086736
('Crizotinib 3586', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.73578	0.051868	0.83313	0.016034
('Crizotinib 3587', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.13111	0.034095	0.093958	0.0095755
('BMS345541 3588', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.99647	0.012513	0.99643	0.0065832
('BMS345541 3589', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.96696	0.010811	0.97874	0.0081869
('BMS345541 3590', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.95941	0.0088412	0.97424	0.0090729
('BMS345541 3591', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.94805	0.010572	0.96704	0.011174
('BMS345541 3592', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.92877	0.014348	0.95695	0.010217
('BMS345541 3593', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.76223	0.057468	0.85024	0.026355
('KIN001-043 3594', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0015	0.036936	0.99806	0.019531
('KIN001-043 3595', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.96926	0.029483	0.98029	0.017033
('KIN001-043 3596', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.95717	0.016598	0.97486	0.0098173
('KIN001-043 3597', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.90244	0.043486	0.94619	0.019087
('KIN001-043 3598', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.76132	0.092818	0.85492	0.046102
('KIN001-043 3599', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.37633	0.09805	0.49374	0.075463
('Saracatinib 3600', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0224	0.0095809	1.0122	0.0040837
('Saracatinib 3601', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.94632	0.011115	0.96841	0.0039991
('Saracatinib 3602', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.84061	0.058877	0.90602	0.025969
('Saracatinib 3603', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.62527	0.11622	0.74473	0.069821
('Saracatinib 3604', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.41105	0.10842	0.53355	0.082517
('Saracatinib 3605', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10032', 'smallmolecule_smLincsID: LSM-1032', 'smallmolecule_smName: Saracatinib', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.1374	0.043606	0.10815	0.018944
('Sigma A6730 3606', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.98731	0.012531	0.99354	0.0059438
('Sigma A6730 3607', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.96277	0.014571	0.97906	0.0058951
('Sigma A6730 3608', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.95006	0.015462	0.97215	0.0052815
('Sigma A6730 3609', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.86219	0.060868	0.92163	0.027609
('Sigma A6730 3610', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.89934	0.055127	0.94533	0.027221
('Sigma A6730 3611', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10035', 'smallmolecule_smLincsID: LSM-1035', 'smallmolecule_smName: Sigma A6730', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.47934	0.12351	0.6053	0.088947
('WH-4-025 3612', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0094	0.0319	1.0061	0.020085
('WH-4-025 3613', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.82367	0.0735	0.896	0.034256
('WH-4-025 3614', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.69399	0.091756	0.80396	0.0445
('WH-4-025 3615', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.38305	0.10239	0.49964	0.076393
('WH-4-025 3616', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.24697	0.08063	0.31129	0.061056
('WH-4-025 3617', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10039', 'smallmolecule_smLincsID: LSM-5431', 'smallmolecule_smName: WH-4-025', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.18736	0.059984	0.20918	0.040814
('R406 3618', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.9536	0.041575	0.9781	0.022528
('R406 3619', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.93835	0.03447	0.96684	0.019862
('R406 3620', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.89997	0.045306	0.94484	0.023309
('R406 3621', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.83166	0.079519	0.9036	0.039579
('R406 3622', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.71447	0.11574	0.82117	0.063544
('R406 3623', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10040', 'smallmolecule_smLincsID: LSM-1040', 'smallmolecule_smName: R406', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.53674	0.13112	0.6686	0.082804
('BI-2536 3624', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.078198	0.0062125	-0.047265	0.074937
('BI-2536 3625', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.086526	0.0042243	-0.019192	0.080184
('BI-2536 3626', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.094596	0.005923	0.0069623	0.074713
('BI-2536 3627', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.092496	0.01017	1.02e-05	0.061394
('BI-2536 3628', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.088593	0.01166	-0.013221	0.056764
('BI-2536 3629', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10041', 'smallmolecule_smLincsID: LSM-1041', 'smallmolecule_smName: BI-2536', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.09461	0.016167	0.0036568	0.047276
('A443654 3630', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.77435	0.19848	0.85119	0.12626
('A443654 3631', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.54488	0.17593	0.65351	0.14284
('A443654 3632', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.19094	0.082589	0.20204	0.083391
('A443654 3633', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.10496	0.052519	-0.0012704	0.066631
('A443654 3634', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.046259	0.014729	-0.19465	0.057475
('A443654 3635', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10045', 'smallmolecule_smLincsID: LSM-1045', 'smallmolecule_smName: A443654', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.034635	0.0095121	-0.2613	0.10709
('SB590885 3636', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.96652	0.058041	0.97697	0.033973
('SB590885 3637', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.95904	0.057521	0.97282	0.034186
('SB590885 3638', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.97454	0.05042	0.98344	0.030014
('SB590885 3639', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.97463	0.029629	0.98517	0.017986
('SB590885 3640', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.93485	0.023747	0.96398	0.0099784
('SB590885 3641', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10046', 'smallmolecule_smLincsID: LSM-1046', 'smallmolecule_smName: SB590885', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.56666	0.090491	0.69933	0.042437
('GDC-0941 3642', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.79071	0.15303	0.8693	0.088966
('GDC-0941 3643', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.69038	0.16563	0.7923	0.10688
('GDC-0941 3644', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.50674	0.14991	0.62528	0.11869
('GDC-0941 3645', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.3255	0.098087	0.42686	0.08344
('GDC-0941 3646', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.22912	0.064298	0.28908	0.050033
('GDC-0941 3647', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10047', 'smallmolecule_smLincsID: LSM-1047', 'smallmolecule_smName: GDC-0941', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.13556	0.044542	0.10212	0.021934
('PD184352 3648', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10048', 'smallmolecule_smLincsID: LSM-1048', 'smallmolecule_smName: PD184352', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.52601	0.051058	0.66115	0.0092637
('PD184352 3649', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10048', 'smallmolecule_smLincsID: LSM-1048', 'smallmolecule_smName: PD184352', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.41542	0.0681	0.54672	0.033394
