	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('Baicalein 3094', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-3.7773	0.9171	-4.2599	-4.2499	-4.2995	3.9995	0.042675	0.053841	7.9695
('Baicalein 3095', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MB 157', 'clCenterSpecificID: 50324')									
('Baicalein 3096', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-3.7773	0.852	-3.7787	-3.7773	-4.0364	2.979	1.2e-12	0.55919	8.3025
('Baicalein 3097', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-3.7773	0.9472	-4.1167	-4.1167	-4.2501	2.548	1.25e-16	0.17148	7.895
('Baicalein 3098', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-3.7773								8.4733
('Baicalein 3099', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-3.7773								8.9897
('Baicalein 3100', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-3.7773								8.7471
('Baicalein 3101', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-3.7773	0.7925	-3.7744	-3.7773	-3.8846	2.371	1.61e-16	0.50413	8.1384
('Baicalein 3102', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-3.7773	0.9379	-4.2597	-4.2597	-4.5403	0.9449	1.7e-16	0.25931	7.6021
('Baicalein 3103', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: T47D', 'clCenterSpecificID: 50541')	-3.7773	0.9245	-4.3782	-4.3218	-4.4807	2.654	0.1616	0.27303	7.9269
('Baicalein 3104', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-3.7773	0.9434	-4.2771	-4.277	-4.3658	3.998	2.22e-16	0.009945	8.1134
('Baicalein 3105', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-3.7773	0.7918	-3.7715	-3.7773	-3.8855	2.174	1.77e-12	0.50702	8.5015
('Baicalein 3106', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-3.7773	0.7106	-4.3577	-3.7773	-4.2983	3.981	0.6372	0.63897	8.4539
('Baicalein 3107', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: 184B5', 'clCenterSpecificID: 50576')	-3.7773								8.9386
('Baicalein 3108', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-3.7773	0.9154	-4.5236	-4.5235	-4.986	0.8337	1.84e-16	0.2484	7.1387
('Baicalein 3109', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-3.7773	0.8898	-4.8266	-4.6911	-4.7562	2.255	0.2401	0.24458	7.7896
('Baicalein 3110', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-3.7773								9.7787
('Baicalein 3111', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.7773	0.7709	-4.5392	-3.8067	-4.5498	2.5375	0.54115	0.57986	8.3668
('Baicalein 3112', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.7773	0.8924	-4.2157	-4.2157	-4.2833	1.6627	1.52e-13	0.19837	7.4819
('Baicalein 3113', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.7773	0.7209	-4.3232	-4.3232	-4.3449	3.999	2.22e-16	0.0065168	8.7764
('Baicalein 3114', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM185PE', 'clCenterSpecificID: 51084')									
('Baicalein 3115', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-3.7773	0.8264	-4.3695	-4.1565	-4.4012	3.999	0.4297	0.43213	8.1172
('Baicalein 3116', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.7773								8.0889
('Baicalein 3117', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.7773	0.8554	-4.405	-4.2587	-4.4411	3.995	0.37	0.37195	8.2857
('Baicalein 3118', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.7773								8.7889
('Baicalein 3119', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.7773	0.92375	-4.8779	-4.7427	-4.8683	2.4785	0.267	0.26904	7.2659
('Baicalein 3120', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: MX1', 'clCenterSpecificID: 51090')	-3.7773	0.90485	-4.3855	-4.3473	-4.6995	2.0115	0.07025	0.13252	7.6091
('Baicalein 3121', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-3.7773								8.653
('Baicalein 3122', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.7773								8.5324
('Baicalein 3123', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.7773	0.8646	-4.444	-3.7773	-4.5721	2.856	0.6968	0.70053	8.4318
('Baicalein 3124', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-3.7773	0.9132	-4.7087	-4.2463	-4.7078	2.232	0.4289	0.45278	8.072
('Baicalein 3125', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: LY2', 'clCenterSpecificID: 51095')	-3.7773	0.9212	-4.2757	-4.2757	-4.5538	2.782	1.97e-16	0.039445	8.28
('Baicalein 3126', 'smCenterCompoundID: 10343', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6355', 'smName: Baicalein', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-3.7773	0.8631	-4.4547	-3.7773	-4.2948	1.283	0.4492	0.51479	8.072
('Olomoucine II 3127', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MCF7', 'clCenterSpecificID: 50029')	-3.8761	0.968	-5.1651	-5.1401	-5.245	3.609	0.09351	0.09353	6.7612
('Olomoucine II 3128', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-3.8761	0.9637	-4.9591	-4.9362	-5.044	3.428	0.08383	0.084007	7.1638
('Olomoucine II 3129', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-3.8761	0.7196	-4.9011	-4.8569	-4.898	3.992	0.1675	0.16757	8.6571
('Olomoucine II 3130', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: AU565', 'clCenterSpecificID: 50091')	-3.8761	0.9448	-5.3221	-5.3181	-5.3977	4.0	0.01643	0.016432	6.4289
('Olomoucine II 3131', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: BT-20', 'clCenterSpecificID: 50105')	-3.8761	0.95955	-5.1661	-5.0814	-5.4342	1.3285	0.11477	0.13265	6.9706
('Olomoucine II 3132', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: BT-474', 'clCenterSpecificID: 50106')	-3.8761	0.8243	-5.3131	-4.9084	-5.344	3.996	0.4879	0.4879	8.2281
('Olomoucine II 3133', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: BT-483', 'clCenterSpecificID: 50107')	-3.8761								7.7478
('Olomoucine II 3134', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: BT-549', 'clCenterSpecificID: 50108')	-3.8761	0.9558	-5.6701	-5.6198	-5.7029	1.542	0.08132	0.082892	6.3945
('Olomoucine II 3135', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-3.8761	0.95	-4.9836	-4.8948	-5.3226	1.5335	0.12826	0.14657	7.0928
('Olomoucine II 3136', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-3.8761	0.9102	-5.3781	-5.3472	-5.5299	1.402	0.04788	0.055279	6.5306
('Olomoucine II 3137', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-3.8761	0.95095	-5.2126	-5.1987	-5.7478	0.9758	0.01219	0.069614	6.5818
('Olomoucine II 3138', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-3.8761	0.8205	-4.8563	-4.5755	-5.415	0.9757	0.2339	0.31019	7.3462
('Olomoucine II 3139', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-3.8761	0.9205	-5.0086	-4.6896	-5.3374	1.0836	0.24935	0.29644	7.253
('Olomoucine II 3140', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-3.8761	0.9495	-5.2511	-4.469	-5.312	2.5615	0.3647	0.37574	7.3912
('Olomoucine II 3141', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-3.8761	0.988	-5.0531	-5.0427	-5.1219	2.873	0.03274	0.033142	6.8721
('Olomoucine II 3142', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-3.8761	0.9265	-5.0781	-4.9966	-5.1173	3.955	0.2611	0.26111	7.628
('Olomoucine II 3143', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-3.8761	0.9483	-5.0281	-4.9436	-5.0528	3.34	0.2385	0.23861	7.3086
('Olomoucine II 3144', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC202', 'clCenterSpecificID: 50214')									
('Olomoucine II 3145', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC38', 'clCenterSpecificID: 50216')	-3.8761	0.9529	-5.4671	-5.4498	-5.5914	1.483	0.0285	0.032729	6.1038
('Olomoucine II 3146', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC70', 'clCenterSpecificID: 50219')	-3.8761	0.97725	-5.2351	-5.2353	-5.4698	1.7585	1.57e-16	0.0040627	6.2929
('Olomoucine II 3147', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-3.8761	0.9357	-5.0601	-4.9549	-5.2092	0.7147	0.07962	0.19439	6.9026
('Olomoucine II 3148', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MB 157', 'clCenterSpecificID: 50324')	-3.8761	0.9859	-5.1941	-5.137	-5.1962	3.998	0.2032	0.2032	7.261
('Olomoucine II 3149', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-3.8761	0.90095	-5.1556	-4.9295	-5.2018	3.999	0.4163	0.4163	7.769
('Olomoucine II 3150', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-3.8761	0.9806	-5.1231	-5.094	-5.1873	4.0	0.1158	0.11581	7.1629
('Olomoucine II 3151', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-3.8761	0.85	-5.2521	-3.8761	-5.2061	1.737	0.6378	0.63893	7.8579
('Olomoucine II 3152', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-3.8761	0.91725	-4.9241	-4.6548	-5.0056	3.2605	0.4181	0.41868	7.8896
('Olomoucine II 3153', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-3.8761	0.9077	-5.1451	-4.9031	-5.1513	3.999	0.4462	0.4462	8.1066
('Olomoucine II 3154', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-3.8761	0.9528	-5.1421	-5.1414	-5.3057	2.617	0.001015	0.0015015	6.4299
('Olomoucine II 3155', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-3.8761	0.8992	-5.1881	-5.1814	-5.2342	4.0	0.03021	0.030215	7.3947
('Olomoucine II 3156', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: T47D', 'clCenterSpecificID: 50541')	-3.8761	0.8965	-5.2601	-4.9914	-5.1964	3.995	0.4577	0.4577	7.5462
('Olomoucine II 3157', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-3.8761	0.902	-5.0921	-4.9695	-5.1718	3.8285	0.22889	0.22891	7.0809
('Olomoucine II 3158', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: UACC-893', 'clCenterSpecificID: 50557')									
('Olomoucine II 3159', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-3.8761	0.8685	-5.0511	-4.919	-5.0945	3.995	0.3513	0.35131	7.2588
('Olomoucine II 3160', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: 184B5', 'clCenterSpecificID: 50576')	-3.8761	0.9593	-5.3501	-5.2549	-5.5534	1.077	0.1049	0.12747	6.8015
('Olomoucine II 3161', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-3.8761	0.986	-5.0731	-5.0708	-5.2124	2.762	0.005804	0.0062965	6.8131
('Olomoucine II 3162', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-3.8761	0.9673	-5.4931	-5.4893	-5.5327	2.96	0.01175	0.011766	6.485
('Olomoucine II 3163', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-3.8761	0.9459	-5.0001	-4.9869	-5.0822	3.688	0.05219	0.052258	7.5056
('Olomoucine II 3164', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.8761	0.98965	-5.2001	-5.1819	-5.4151	2.702	0.054145	0.05442	6.8308
('Olomoucine II 3165', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.8761	0.9717	-5.1561	-5.1557	-5.2203	2.9865	0.002321	0.0029638	6.6727
('Olomoucine II 3166', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.8761	0.9612	-5.3431	-5.3098	-5.3451	1.653	0.05915	0.062677	6.2921
('Olomoucine II 3167', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-3.8761								6.9046
('Olomoucine II 3168', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-3.8761	0.8271	-5.2531	-5.1291	-5.2857	3.984	0.3391	0.3391	7.3367
('Olomoucine II 3169', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.8761	0.9367	-5.1271	-5.0133	-5.1182	2.686	0.2529	0.25323	7.2427
('Olomoucine II 3170', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.8761	0.8862	-5.1586	-4.8561	-5.2355	1.1565	0.2759	0.29934	7.2479
('Olomoucine II 3171', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.8761	0.9406	-5.4031	-5.274	-5.4786	2.622	0.2714	0.27147	7.4802
('Olomoucine II 3172', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.8761	0.9818	-5.1771	-5.1151	-5.2151	4.0	0.2187	0.2187	7.5887
('Olomoucine II 3173', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: MX1', 'clCenterSpecificID: 51090')	-3.8761	0.9589	-5.0991	-5.0973	-5.2469	2.492	9.95e-14	0.00637	7.0652
('Olomoucine II 3174', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-3.8761	0.8823	-5.1011	-3.8761	-5.0389	3.999	0.5359	0.53591	7.6766
('Olomoucine II 3175', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.8761	0.9709	-4.9441	-4.8876	-5.2447	1.601	0.09414	0.11146	7.0822
('Olomoucine II 3176', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.8761	0.8484	-4.93	-4.5501	-5.1338	2.037	0.39575	0.40126	7.9176
('Olomoucine II 3177', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-3.8761	0.9329	-5.2181	-5.218	-5.4896	1.43	1.94e-13	0.011909	6.7378
('Olomoucine II 3178', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: LY2', 'clCenterSpecificID: 51095')	-3.8761	0.9242	-5.1391	-5.1392	-5.2909	4.0	1.17e-16	8.86e-06	7.0997
('Olomoucine II 3179', 'smCenterCompoundID: 10344', 'smSalt: 101', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6356', 'smName: Olomoucine II', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-3.8761	0.9106	-5.1661	-5.091	-5.1887	3.999	0.2494	0.24941	7.3908
('PP242 3180', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MCF7', 'clCenterSpecificID: 50029')	-4.301	0.9482	-10.157	-9.6593	-10.375	0.4305	0.195	0.19742	2.6031
('PP242 3181', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.301	0.9599	-8.546	-7.8042	-8.9851	0.4078	0.251	0.26465	4.2828
('PP242 3182', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.301	0.9847	-8.015	-7.9267	-8.1456	0.366	0.03576	0.076158	3.5646
('PP242 3183', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.301	0.9687	-8.576	-8.0828	-8.9348	0.546	0.231	0.23455	4.0207
('PP242 3184', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: BT-20', 'clCenterSpecificID: 50105')	-4.301								4.533
('PP242 3185', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: BT-474', 'clCenterSpecificID: 50106')									
('PP242 3186', 'smCenterCompoundID: 10345', 'smSalt: 111', 'smCenterSampleID: 1.0', 'smLincsID: LSM-6357', 'smName: PP242', 'clName: BT-483', 'clCenterSpecificID: 50107')									
