	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('556398 743', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	5000.0	10.2134	0.49482	0.062838		0.9865	4.8119	0.48839	5.0	6.3683	0.052711	0.092277		0.9848	6.3032	0.02502	5.0
('556399 744', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	156.25	0.0085	0.31664	0.38773		0.9624	0.0027	0.40934	1.4983	0.0048	-0.16028	0.58155		0.9429	0.0046	0.029128	1.4708
('556400 745', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	312.5	0.0031	0.30025	0.46521		0.9729	0.0017	0.35464	1.9508	0.0023	0.021282	0.61116		0.9693	0.0021	0.12382	2.2694
('556401 746', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	625.0	0.0024	0.28567	0.49771		0.9928	0.0016	0.31728	2.4716	0.0019	-0.042911	0.70437		0.9933	0.0018	0.014914	2.4087
('556402 747', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	1250.0	0.0037	0.27799	0.47717		0.9905	0.0024	0.30278	2.1105	0.0026	-0.059016	0.68347		0.9886	0.0027	-0.0216	1.7221
('556403 748', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	2500.0	0.0059	0.30758	0.40919		0.9848	0.0037	0.33692	2.4707	0.0039	-0.093215	0.6414		0.9878	0.0041	-0.047058	2.1128
('556404 749', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	5000.0	0.0225	0.42682	0.27301		0.9783	0.0083	0.47623	3.0421	0.0088	-0.12384	0.52302		0.9737	0.0089	-0.013071	3.2418
('556405 750', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	156.25	23.7421	0.69825	-0.024161		0.8152	23.742	7.4447e-06	5.0	22.7773	0.701	-0.022409		0.8137	28.3743	-0.99996	5.0
('556406 751', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	312.5	inf	0.73747	0.027652		0.8789	17.6822	0.51676	1.2136	inf	0.78859	0.017589		0.8487	17.5381	0.61383	1.292
('556407 752', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	625.0	29.2056	0.68717	0.003529		0.9248	26.8077	0.086902	2.2286	34.061	0.74336	0.0036952		0.9333	28.4029	0.17046	2.2951
('556408 753', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	1250.0	inf	0.84079	-0.005999		0.798	11.0784	0.83247	4.9978	inf	0.86004	-0.0050059		0.7924	11.204	0.85238	4.9937
('556409 754', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	2500.0	inf	0.93043	-0.0067321		0.5323	31.0444	0.57417	3.7178	inf	0.90376	-0.0091188		0.535	26.1338	0.62749	3.9457
('556410 755', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	5000.0	inf	1.0243	-0.0083016		-0.3627	inf	1.0243	0.0	inf	1.05	-0.0065256		-0.1135	inf	1.05	0.0
('556411 756', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	156.25	0.0847	0.28423	0.41632		0.95	0.0285	0.37175	1.2502	0.0208	-0.22717	0.71248		0.9196	0.0217	-0.024068	1.2382
('556412 757', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	312.5	0.056	0.25676	0.50471		0.9751	0.0273	0.25193	0.97506	0.0249	-0.069798	0.7172		0.9839	0.0304	-0.089178	0.8303
('556413 758', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	625.0	0.0471	0.21667	0.52241		0.9902	0.0245	0.22988	0.94223	0.0165	-0.17832	0.78141		0.9878	0.0248	-0.17275	0.7314
('556414 759', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	1250.0	0.0423	0.24502	0.5239		0.9927	0.0184	0.25852	0.87695	0.0121	-0.12475	0.78718		0.9893	0.0164	-0.11626	0.68518
('556415 760', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	2500.0	0.0853	0.24977	0.48862		0.9949	0.0274	0.2485	0.60523	0.0139	-0.20824	0.78414		0.9912	0.0281	-0.22461	0.52897
('556416 761', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	5000.0	1.0392	0.38204	0.35861		0.9917	0.163	0.25923	0.39453	0.0621	-0.20816	0.64027		0.984	0.3286	-0.50206	0.4174
('556417 762', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	156.25	0.0098	0.19343	0.64612		0.9987	0.008	0.20803	2.6944	0.009	-0.046527	0.81377		0.9962	0.0092	-0.018851	2.1357
('556418 763', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	312.5	0.0087	0.17944	0.67024		0.9962	0.008	0.1838	5.0	0.0092	0.070161	0.74446		0.9952	0.0089	0.078554	4.9784
('556419 764', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	625.0	0.0097	0.13721	0.66437		0.995	0.0087	0.17634	4.0979	0.0103	-0.014514	0.7285		0.9888	0.0098	0.071963	3.2542
('556420 765', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	1250.0	0.0215	0.23847	0.54173		0.9983	0.0187	0.25071	5.0	0.0214	0.098937	0.62936		0.9972	0.0203	0.12267	4.9999
('556421 766', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	2500.0	0.0444	0.40467	0.38173		0.9975	0.0307	0.42128	5.0	0.0331	0.074823	0.58692		0.9972	0.0315	0.10435	4.6221
('556422 767', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 10')	5000.0	inf	0.7155	0.15987		0.9744	0.0435	0.74233	1.6344	0.0528	0.09724	0.52212		0.9749	0.0407	0.16952	1.6032
('556423 768', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	156.25	1.0054	0.39236	0.26654		0.9591	0.2812	0.42453	1.4841	0.3259	0.10363	0.39245		0.9735	0.2543	0.17682	1.7601
('556424 769', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	312.5	0.9466	0.35017	0.21959		0.9741	0.4587	0.42562	2.63	0.6839	0.10688	0.28527		0.9716	0.5351	0.23464	2.5829
('556425 770', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	625.0	0.9225	0.29857	0.29827		0.9811	0.3581	0.34168	1.2153	0.4559	0.049549	0.39488		0.9663	0.3503	0.12774	1.1195
('556426 771', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	1250.0	1.1845	0.38609	0.25529		0.9804	0.4074	0.40399	1.5462	0.6112	0.17713	0.32409		0.9877	0.4468	0.21917	1.841
('556427 772', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	2500.0	2.5994	0.45732	0.26927		0.9841	0.2906	0.44967	1.0479	0.4751	0.18137	0.39746		0.984	0.3196	0.16891	1.0394
('556428 773', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	5000.0	inf	0.58555	0.22879		0.9799	0.2178	0.571	1.0286	0.294	0.25254	0.44765		0.9699	0.1426	0.21771	0.79036
('556429 774', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	156.25	inf	1.05	-0.0057128		-0.0376	inf	1.05	0.0	inf	1.05	0.035316		0.0442	inf	1.05	0.0
('556430 775', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	312.5	inf	1.05	-0.042043		-5.2565	inf	1.05	0.0	inf	1.05	-0.036263		-2.0404	inf	1.05	0.0
('556431 776', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	625.0	inf	0.77918	0.017336		0.3454	inf	0.77918	0.0	inf	0.81198	0.011729		0.2286	inf	0.81198	0.0
('556432 777', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	1250.0	inf	0.51632	0.045784		0.9012	4.608	0.6047	5.0	inf	0.39345	0.043138		0.7972	5.0334	0.56658	5.0
('556433 778', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	2500.0	8.7505	0.4584	0.059768		0.9791	5.6565	0.44357	5.0	6.261	0.18484	0.093835		0.9878	5.7783	0.16525	5.0
('556434 779', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	5000.0	9.9994	0.44703	0.075122		0.9915	5.1878	0.44146	3.2687	7.078	-0.065755	0.10169		0.9909	7.2854	-0.077671	5.0
('556435 780', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	156.25	0.0055	0.35612	0.45815		0.9429	0.0022	0.3434	1.2654	0.0034	0.032789	0.65918		0.9329	0.0033	0.0065394	1.3379
('556436 781', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	312.5	0.0053	0.27793	0.451		0.9802	0.0028	0.32581	1.6543	0.0041	-0.03175	0.58664		0.9648	0.0038	0.073943	2.1989
('556437 782', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	625.0	0.0025	0.20671	0.53575		0.9848	0.0017	0.26113	1.9157	0.002	-0.13558	0.72775		0.9673	0.0022	-0.048181	1.4268
('556438 783', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	1250.0	0.0023	0.24276	0.5362		0.9947	0.0015	0.2754	1.9895	0.0017	-0.092335	0.75058		0.9926	0.0018	-0.034531	1.7019
('556439 784', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	2500.0	0.0047	0.30144	0.43779		0.9918	0.0031	0.32771	2.4848	0.0032	-0.10436	0.68259		0.9936	0.0034	-0.065722	2.0413
('556440 785', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	5000.0	0.0292	0.45224	0.29998		0.9855	0.0061	0.47717	1.9821	0.0084	-0.07634	0.53179		0.9788	0.0084	0.0077834	5.0
('556441 786', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	156.25	0.0964	0.30967	0.45249		0.9179	0.0309	0.29882	0.801	0.0246	-0.051296	0.69387		0.9126	0.0301	-0.076297	0.71309
('556442 787', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	312.5	0.0506	0.25569	0.49691		0.9739	0.0227	0.27486	0.99239	0.0225	-0.075216	0.70566		0.9794	0.025	-0.048306	0.87744
('556443 788', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	625.0	0.0321	0.1707	0.55493		0.9869	0.0167	0.2226	0.89998	0.0144	-0.21552	0.7755		0.9787	0.0208	-0.14215	0.67954
('556444 789', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	1250.0	0.04	0.19557	0.54695		0.9903	0.0187	0.21692	0.74942	0.0143	-0.19463	0.78405		0.9855	0.0232	-0.17495	0.61475
('556445 790', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	2500.0	0.07	0.24984	0.4916		0.9824	0.0202	0.28038	0.66266	0.0129	-0.21172	0.78265		0.9748	0.0208	-0.16231	0.59027
('556446 791', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50238', 'cell_clName: Hs 578T', 'replicate: 11')	5000.0	1.3071	0.39732	0.34816		0.9881	0.1398	0.29626	0.40162	0.0708	-0.17379	0.61357		0.9845	0.2673	-0.39388	0.43727
('556447 792', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	156.25	0.2198	0.044799	0.38698		0.9859	0.1956	0.087792	1.6526	0.3657	-0.19667	0.39029		0.985	0.5028	-0.19318	1.0256
('556448 793', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	312.5	0.2682	0.041898	0.3787		0.9815	0.2464	0.053988	1.3479	0.5175	-0.18498	0.36535		0.9846	0.8054	-0.29006	1.0342
('556449 794', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	625.0	0.2465	0.03426	0.40723		0.9934	0.2352	0.026523	1.1678	0.5061	-0.16862	0.37315		0.9965	0.7905	-0.26958	0.96706
('556450 795', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	1250.0	0.3799	0.043237	0.3755		0.9887	0.374	0.0082538	1.064	0.6453	-0.14545	0.34487		0.9936	0.9465	-0.23477	1.0048
('556451 796', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	2500.0	0.5918	0.094408	0.31576		0.9947	0.5365	0.050117	1.076	0.5939	-0.25999	0.37034		0.9974	1.044	-0.39095	1.024
('556452 797', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	5000.0	1.0521	0.20119	0.26712		0.9894	0.7817	0.11311	0.86319	0.2682	-0.60272	0.53176		0.9891	0.771	-0.76817	0.88141
('556453 798', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	156.25	22.1967	0.62466	-0.0070285		0.8922	22.1965	1.665e-05	5.0	24.4822	0.7412	-0.010744		0.8199	25.1687	-0.07414	4.9994
('556454 799', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	312.5	19.5454	0.48226	-0.0033618		0.937	16.7544	0.26732	4.9646	22.939	0.62799	-0.012318		0.905	21.0685	0.15918	4.5057
('556455 800', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	625.0	14.5022	0.37984	0.028691		0.9678	11.5466	0.34	4.9995	inf	0.55459	0.010967		0.9537	12.3292	0.51491	5.0
('556456 801', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	1250.0	18.8327	0.45643	0.022606		0.9462	16.0279	0.27676	5.0	22.4188	0.61569	0.010378		0.9422	22.2835	0.012467	4.1731
('556457 802', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10049', 'smallmolecule_smLincsID: LSM-1049', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: PLX-4720', 'cell_clCenterSpecificID: 50583', 'cell_clName: MCF 10A', 'replicate: 2')	2500.0	inf	0.88608	-0.038714		0.272	inf	0.88608	0.0	inf	0.90149	-0.036826		0.182	inf	0.90149	0.0
