	('meanRelativeCellCountAfterTreatment 0',)	('standardErroroftheMeanforRelativeCellCountAfterTreatment 1',)	('meanRelativeGrowthRateAfterTreatment 2',)	('standardErroroftheMeanforRelativeGrowthRateAfterTreatment 3',)
('338946 3950', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.56781	0.01816	0.27937	0.052211
('338947 3951', 'smCenterCompoundID: 10127', 'smSalt: 101', 'smLincsID: LSM-1127', 'smName: Dovitinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.55061	0.037428	0.25798	0.02692
('338948 3952', 'smCenterCompoundID: 10069', 'smSalt: 101', 'smLincsID: LSM-1069', 'smName: Enzastaurin', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1.0732	0.018618	1.1192	0.027811
('338949 3953', 'smCenterCompoundID: 10097', 'smSalt: 101', 'smLincsID: LSM-1097', 'smName: Erlotinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.92501	0.040153	0.88206	0.063784
('338950 3954', 'smCenterCompoundID: 10157', 'smSalt: 101', 'smLincsID: LSM-1158', 'smName: Foretinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.37821	0.013277	-0.034352	0.045753
('338951 3955', 'smCenterCompoundID: 10040', 'smSalt: 101', 'smLincsID: LSM-1040', 'smName: R406', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0624	0.040746	1.0992	0.068159
('338952 3956', 'smCenterCompoundID: 10047', 'smSalt: 101', 'smLincsID: LSM-1047', 'smName: GDC-0941', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.4001	0.025862	0.00012064	0.074503
('338953 3957', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.58669	0.019886	0.30996	0.057346
('338954 3958', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.29954	0.033455	-0.16589	0.078375
('338955 3959', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.30446	0.012097	-0.15786	0.058368
('338956 3960', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.23942	0.01862	-0.26932	0.09401
('338957 3961', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.26551	0.023545	-0.22231	0.066957
('338958 3962', 'smCenterCompoundID: 10134', 'smSalt: 101', 'smLincsID: LSM-1134', 'smName: GSK1904529A', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.003	0.0022121	1.0048	0.0033567
('338959 3963', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.22943	0.028809	-0.28637	0.10537
('338960 3964', 'smCenterCompoundID: 10128', 'smSalt: 101', 'smLincsID: LSM-1128', 'smName: GSK 690693', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.76451	0.017565	0.61051	0.012378
('338961 3965', 'smCenterCompoundID: 10014', 'smSalt: 101', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.29111	0.019212	-0.18371	0.093172
('338962 3966', 'smCenterCompoundID: 10015', 'smSalt: 101', 'smLincsID: LSM-5982', 'smName: HG-5-113-01', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.33241	0.017615	-0.1096	0.040052
('338963 3967', 'smCenterCompoundID: 10016', 'smSalt: 101', 'smLincsID: LSM-5245', 'smName: HG-5-88-01', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.76594	0.046895	0.60215	0.094262
('338964 3968', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.057	0.029025	1.0922	0.048173
('338965 3969', 'smCenterCompoundID: 10100', 'smSalt: 101', 'smLincsID: LSM-36386', 'smName: JNK-9L', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.33145	0.029155	-0.11045	0.047905
('338966 3970', 'smCenterCompoundID: 10019', 'smSalt: 101', 'smLincsID: LSM-5674', 'smName: JW-7-24-1', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.54391	0.019953	0.24346	0.016724
('338967 3971', 'smCenterCompoundID: 10051', 'smSalt: 104', 'smLincsID: LSM-1051', 'smName: Lapatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.40036	0.0087544	6.91e-05	0.064855
('338968 3972', 'smCenterCompoundID: 10115', 'smSalt: 102', 'smLincsID: LSM-1115', 'smName: LDN-193189', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.35938	0.095814	-0.050395	0.11233
('338969 3973', 'smCenterCompoundID: 10182', 'smSalt: 101', 'smLincsID: LSM-1183', 'smName: Linifanib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0451	0.035815	1.0706	0.060349
('338970 3974', 'smCenterCompoundID: 10135', 'smSalt: 101', 'smLincsID: LSM-1135', 'smName: Linsitinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.80523	0.018489	0.67623	0.031853
('338971 3975', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.23119	0.023645	-0.27893	0.063947
('338972 3976', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.21469	0.039753	-0.30776	0.095676
('338973 3977', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.54861	0.015618	0.2502	0.026341
('338974 3978', 'smCenterCompoundID: 10018', 'smSalt: 101', 'smLincsID: LSM-1018', 'smName: Neratinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.31696	0.034348	-0.1434	0.11849
('338975 3979', 'smCenterCompoundID: 10099', 'smSalt: 101', 'smLincsID: LSM-1099', 'smName: Nilotinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1.0798	0.027181	1.1311	0.041571
('338976 3980', 'smCenterCompoundID: 10151', 'smSalt: 101', 'smLincsID: LSM-1152', 'smName: BIBF-1120', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.75934	0.031299	0.60037	0.051883
('338977 3981', 'smCenterCompoundID: 10061', 'smSalt: 101', 'smLincsID: LSM-1061', 'smName: NU7441', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.77829	0.031616	0.63375	0.04704
('338978 3982', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.37751	0.0067342	-0.037492	0.061827
('338979 3983', 'smCenterCompoundID: 10024', 'smSalt: 101', 'smLincsID: LSM-1024', 'smName: NVP-TAE684', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.5067	0.04702	0.17462	0.10094
('338980 3984', 'smCenterCompoundID: 10071', 'smSalt: 101', 'smLincsID: LSM-1071', 'smName: PD0332991', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.71116	0.025787	0.52201	0.029659
('338981 3985', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.65234	0.0036342	0.42084	0.032088
('338982 3986', 'smCenterCompoundID: 10101', 'smSalt: 101', 'smLincsID: LSM-1101', 'smName: PD0325901', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.65379	0.025675	0.42768	0.017995
('338983 3987', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0569	0.042968	1.0939	0.071869
('338984 3988', 'smCenterCompoundID: 10048', 'smSalt: 101', 'smLincsID: LSM-1048', 'smName: PD184352', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1.004	0.024767	1.0028	0.03862
('338985 3989', 'smCenterCompoundID: 10159', 'smSalt: 101', 'smLincsID: LSM-1160', 'smName: Pelitinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.36932	0.036519	-0.05113	0.08856
('338986 3990', 'smCenterCompoundID: 10116', 'smSalt: 101', 'smLincsID: LSM-1116', 'smName: PF431396', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.38608	0.014344	-0.02053	0.036718
('338987 3991', 'smCenterCompoundID: 10112', 'smSalt: 101', 'smLincsID: LSM-1112', 'smName: PF477736', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.30571	0.029124	-0.15674	0.081962
('338988 3992', 'smCenterCompoundID: 10072', 'smSalt: 101', 'smLincsID: LSM-1072', 'smName: PF562271', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.3645	0.011948	-0.056997	0.043238
('338989 3993', 'smCenterCompoundID: 10125', 'smSalt: 101', 'smLincsID: LSM-1125', 'smName: PHA-665752', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.98489	0.029307	0.98055	0.046815
('338990 3994', 'smCenterCompoundID: 10073', 'smSalt: 101', 'smLincsID: LSM-1073', 'smName: PHA-793887', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.35919	0.024555	-0.064349	0.039776
('338991 3995', 'smCenterCompoundID: 10126', 'smSalt: 101', 'smLincsID: LSM-1126', 'smName: PI103', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.3576	0.03302	-0.073556	0.1031
('338992 3996', 'smCenterCompoundID: 10049', 'smSalt: 101', 'smLincsID: LSM-1049', 'smName: PLX-4720', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.77363	0.024812	0.61831	0.060393
('338993 3997', 'smCenterCompoundID: 10075', 'smSalt: 101', 'smLincsID: LSM-5803', 'smName: QL-X-138', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.42875	0.0043201	0.048605	0.049479
('338994 3998', 'smCenterCompoundID: 10077', 'smSalt: 101', 'smLincsID: LSM-6019', 'smName: QL-XII-47', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.26822	0.015861	-0.22249	0.094775
('338995 3999', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.40199	0.01354	0.0043347	0.054098
('338996 4000', 'smCenterCompoundID: 10480', 'smSalt: 101', 'smLincsID: ', 'smName: Radicicol', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.37874	0.019469	-0.034158	0.058774
('338997 4001', 'smCenterCompoundID: 10001', 'smSalt: 101', 'smLincsID: LSM-1001', 'smName: (R)- Roscovitine', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.80126	0.024904	0.67347	0.024846
('338998 4002', 'smCenterCompoundID: 10138', 'smSalt: 105', 'smLincsID: LSM-1139', 'smName: Ruxolitinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.99201	0.030868	0.98582	0.050708
('338999 4003', 'smCenterCompoundID: 10148', 'smSalt: 101', 'smLincsID: LSM-1149', 'smName: XL147', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	1.1328	0.027095	1.218	0.040693
('339000 4004', 'smCenterCompoundID: 10032', 'smSalt: 101', 'smLincsID: LSM-1032', 'smName: Saracatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.83353	0.011573	0.72061	0.03332
('339001 4005', 'smCenterCompoundID: 10056', 'smSalt: 101', 'smLincsID: LSM-1056', 'smName: Selumetinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.9974	0.019388	0.9919	0.032
('339002 4006', 'smCenterCompoundID: 10052', 'smSalt: 101', 'smLincsID: LSM-1052', 'smName: Rapamycin', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.6005	0.012455	0.33509	0.035426
('339003 4007', 'smCenterCompoundID: 10008', 'smSalt: 101', 'smLincsID: LSM-1008', 'smName: Sorafenib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0023	0.026786	1.0036	0.044545
('339004 4008', 'smCenterCompoundID: 10119', 'smSalt: 101', 'smLincsID: LSM-1119', 'smName: SU11274', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.96531	0.022813	0.94666	0.034972
('339005 4009', 'smCenterCompoundID: 10141', 'smSalt: 101', 'smLincsID: LSM-1142', 'smName: TG 101348', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.6892	0.045727	0.48736	0.066267
('339006 4010', 'smCenterCompoundID: 10171', 'smSalt: 101', 'smLincsID: LSM-1172', 'smName: TGX221', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.99434	0.0040142	0.99071	0.0067304
('339007 4011', 'smCenterCompoundID: 10079', 'smSalt: 101', 'smLincsID: LSM-1079', 'smName: Torin1', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.31606	0.011367	-0.1422	0.086113
('339008 4012', 'smCenterCompoundID: 10080', 'smSalt: 101', 'smLincsID: LSM-1080', 'smName: Torin2', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.28735	0.017893	-0.18517	0.051028
('339009 4013', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.3473	0.004628	-0.087111	0.057069
('339010 4014', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.77255	0.030389	0.61778	0.06212
('339011 4015', 'smCenterCompoundID: 10111', 'smSalt: 101', 'smLincsID: LSM-1111', 'smName: TWS119', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.68667	0.016044	0.47558	0.051205
('339012 4016', 'smCenterCompoundID: 10068', 'smSalt: 101', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.97998	0.031835	0.97277	0.049993
('339013 4017', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.25698	0.03444	-0.23254	0.036361
('339014 4018', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.23721	0.0079339	-0.27041	0.066133
('339015 4019', 'smCenterCompoundID: 10064', 'smSalt: 101', 'smLincsID: LSM-1064', 'smName: WYE-125132', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.36701	0.01044	-0.056565	0.07644
('339016 4020', 'smCenterCompoundID: 10084', 'smSalt: 101', 'smLincsID: LSM-5970', 'smName: WZ3105', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.26078	0.030657	-0.23184	0.088682
('339017 4021', 'smCenterCompoundID: 10086', 'smSalt: 101', 'smLincsID: LSM-1086', 'smName: XMD11-50', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.59267	0.033228	0.31472	0.093281
('339018 4022', 'smCenterCompoundID: 10149', 'smSalt: 102', 'smLincsID: LSM-1150', 'smName: Y39983', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.69602	0.045305	0.48628	0.096741
('339019 4023', 'smCenterCompoundID: 10109', 'smSalt: 101', 'smLincsID: LSM-1109', 'smName: YM 201636', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.86193	0.019851	0.77199	0.029427
('339020 4024', 'smCenterCompoundID: 10053', 'smSalt: 101', 'smLincsID: LSM-1053', 'smName: ZSTK474', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.38494	0.010418	-0.026648	0.074445
('339021 4025', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.31088	0.012395	-0.14753	0.061644
('339022 4026', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.56603	0.018298	0.28022	0.012513
('339023 4027', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.20684	0.024686	-0.32624	0.11682
('339024 4028', 'smCenterCompoundID: 10004', 'smSalt: 101', 'smLincsID: LSM-1004', 'smName: AT-7519', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.15115	0.031215	-0.4144	0.096945
('339025 4029', 'smCenterCompoundID: 10158', 'smSalt: 101', 'smLincsID: LSM-1159', 'smName: AZD 5438', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.17931	0.025505	-0.37122	0.11523
('339026 4030', 'smCenterCompoundID: 10059', 'smSalt: 101', 'smLincsID: LSM-1059', 'smName: AZD-6482', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.3443	0.030896	-0.098733	0.11318
('339027 4031', 'smCenterCompoundID: 10006', 'smSalt: 101', 'smLincsID: LSM-1006', 'smName: AZD7762', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.23129	0.020627	-0.28041	0.076999
('339028 4032', 'smCenterCompoundID: 10007', 'smSalt: 101', 'smLincsID: LSM-1007', 'smName: AZD8055', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.22669	0.060884	-0.27885	0.049117
('339029 4033', 'smCenterCompoundID: 10164', 'smSalt: 101', 'smLincsID: LSM-1165', 'smName: AZD8330', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.89603	0.019262	0.82475	0.03656
('339030 4034', 'smCenterCompoundID: 10067', 'smSalt: 101', 'smLincsID: LSM-1067', 'smName: AZD1152-HQPA', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.35918	0.010676	-0.066357	0.04878
('339031 4035', 'smCenterCompoundID: 10041', 'smSalt: 101', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.29473	0.048823	-0.17972	0.13231
('339032 4036', 'smCenterCompoundID: 10028', 'smSalt: 102', 'smLincsID: LSM-1028', 'smName: BMS345541', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.22417	0.04992	-0.29408	0.12156
('339033 4037', 'smCenterCompoundID: 10132', 'smSalt: 101', 'smLincsID: LSM-1132', 'smName: BMS-387032', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.21798	0.021787	-0.30781	0.11357
('339034 4038', 'smCenterCompoundID: 10234', 'smSalt: 101', 'smLincsID: LSM-4257', 'smName: GDC-0980', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.33758	0.026091	-0.10297	0.070855
('339035 4039', 'smCenterCompoundID: 10122', 'smSalt: 101', 'smLincsID: LSM-1122', 'smName: NVP-AEW541', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.53592	0.073661	0.23	0.12098
('339036 4040', 'smCenterCompoundID: 10046', 'smSalt: 101', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.26464	0.033248	-0.22072	0.045475
('339037 4041', 'smCenterCompoundID: 10190', 'smSalt: 101', 'smLincsID: LSM-1191', 'smName: PIK-93', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.39922	0.029889	0.00058863	0.063979
('339038 4042', 'smCenterCompoundID: 10031', 'smSalt: 101', 'smLincsID: LSM-1031', 'smName: KIN001-043', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.51659	0.027136	0.1922	0.074331
('339039 4043', 'smCenterCompoundID: 10233', 'smSalt: 101', 'smLincsID: LSM-4256', 'smName: BYL719', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.34826	0.016599	-0.088076	0.08039
('339040 4044', 'smCenterCompoundID: 10161', 'smSalt: 101', 'smLincsID: LSM-1162', 'smName: NVP-AUY922', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP5')	0.39278	0.01184	-0.010962	0.053175
('339041 4045', 'smCenterCompoundID: 10045', 'smSalt: 101', 'smLincsID: LSM-1045', 'smName: A443654', 'clName: SK-BR-3', 'clCenterSpecificID: 50057', 'smallMolConcentration: 10.0', 'ljpLibraryPlate: LJP6')	0.22431	0.023912	-0.29504	0.10276
